xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -0.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.038796
Cy    =    0.000000
Cd    =    0.006999     ICd   =    0.000099     PCd   =    0.006900
Cl   = 1.27055e-18
Cm   =  0.00984709
ICn   =    0.000000     PCn   =    0.000000 
XCP   =   -0.026601     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -2.025129

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400     0.399   -0.011522    0.006897    0.000080    0.002920    0.000039     0.6701    0.6650   -0.7348    0.0000
   -0.6087     0.2400     0.314   -0.021148    0.006903    0.000116    0.005365    0.000078     0.6722    0.6630   -0.5264   -0.0012
   -0.5702     0.2400     0.249   -0.028566    0.006908    0.000124    0.007249    0.000107     0.6737    0.6614   -0.3658   -0.0103
   -0.5178     0.2400     0.201   -0.034040    0.006911    0.000119    0.008639    0.000129     0.6749    0.6602   -0.2473   -0.0422
   -0.4525     0.2400     0.167   -0.037964    0.006914    0.000110    0.009636    0.000145     0.6757    0.6594   -0.1624   -0.1190
   -0.3762     0.2400     0.142   -0.040716    0.006915    0.000101    0.010335    0.000156     0.6763    0.6588   -0.1028   -0.2673
   -0.2906     0.2400     0.126   -0.042591    0.006917    0.000094    0.010811    0.000163     0.6767    0.6584   -0.0622   -0.5139
   -0.1978     0.2400     0.115   -0.043801    0.006917    0.000088    0.011118    0.000168     0.6769    0.6581   -0.0360   -0.8815
   -0.1001     0.2400     0.109   -0.044478    0.006918    0.000085    0.011290    0.000171     0.6771    0.6580   -0.0214   -1.3843
   -0.0000     0.2400     0.108   -0.044696    0.006918    0.000084    0.011346    0.000172     0.6771    0.6579   -0.0166   -2.0251
    0.1001     0.2400     0.109   -0.044478    0.006918    0.000085    0.011290    0.000171     0.6771    0.6580   -0.0214   -1.3843
    0.1978     0.2400     0.115   -0.043801    0.006917    0.000088    0.011118    0.000168     0.6769    0.6581   -0.0360   -0.8815
    0.2906     0.2400     0.126   -0.042591    0.006917    0.000094    0.010811    0.000163     0.6767    0.6584   -0.0622   -0.5139
    0.3762     0.2400     0.142   -0.040716    0.006915    0.000101    0.010335    0.000156     0.6763    0.6588   -0.1028   -0.2673
    0.4525     0.2400     0.167   -0.037964    0.006914    0.000110    0.009636    0.000145     0.6757    0.6594   -0.1624   -0.1190
    0.5178     0.2400     0.201   -0.034040    0.006911    0.000119    0.008639    0.000129     0.6749    0.6602   -0.2473   -0.0422
    0.5702     0.2400     0.249   -0.028566    0.006908    0.000124    0.007249    0.000107     0.6737    0.6614   -0.3658   -0.0103
    0.6087     0.2400     0.314   -0.021148    0.006903    0.000116    0.005365    0.000078     0.6722    0.6630   -0.5264   -0.0012
    0.6321     0.2400     0.399   -0.011522    0.006897    0.000080    0.002920    0.000039     0.6701    0.6650   -0.7348    0.0000




