xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -1.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.078257
Cy    =    0.000000
Cd    =    0.007300     ICd   =    0.000391     PCd   =    0.006909
Cl   = 2.00464e-18
Cm   =    0.019878
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.056422     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -4.081976

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400     0.797   -0.023147    0.006904    0.000322    0.005872    0.000086     0.6726    0.6625   -0.4831    0.0000
   -0.6087     0.2400     0.627   -0.042508    0.006917    0.000465    0.010790    0.000163     0.6767    0.6584   -0.0640   -0.0024
   -0.5702     0.2400     0.495   -0.057462    0.006926    0.000497    0.014588    0.000223     0.6798    0.6552    0.2486   -0.0208
   -0.5178     0.2400     0.399   -0.068538    0.006925    0.000477    0.017405    0.000271     0.6824    0.6530    0.2486   -0.0848
   -0.4525     0.2400     0.329   -0.076512    0.006925    0.000439    0.019433    0.000306     0.6842    0.6515    0.2486   -0.2393
   -0.3762     0.2400     0.280   -0.082123    0.006924    0.000401    0.020861    0.000330     0.6855    0.6504    0.2487   -0.5379
   -0.2906     0.2400     0.246   -0.085956    0.006924    0.000369    0.021836    0.000347     0.6864    0.6496    0.2487   -1.0348
   -0.1978     0.2400     0.225   -0.088430    0.006924    0.000347    0.022465    0.000357     0.6869    0.6491    0.2487   -1.7757
   -0.1001     0.2400     0.212   -0.089815    0.006924    0.000333    0.022817    0.000363     0.6872    0.6489    0.2487   -2.7895
   -0.0000     0.2400     0.209   -0.090261    0.006924    0.000329    0.022931    0.000365     0.6873    0.6488    0.2487   -4.0820
    0.1001     0.2400     0.212   -0.089815    0.006924    0.000333    0.022817    0.000363     0.6872    0.6489    0.2487   -2.7895
    0.1978     0.2400     0.225   -0.088430    0.006924    0.000347    0.022465    0.000357     0.6869    0.6491    0.2487   -1.7757
    0.2906     0.2400     0.246   -0.085956    0.006924    0.000369    0.021836    0.000347     0.6864    0.6496    0.2487   -1.0348
    0.3762     0.2400     0.280   -0.082123    0.006924    0.000401    0.020861    0.000330     0.6855    0.6504    0.2487   -0.5379
    0.4525     0.2400     0.329   -0.076512    0.006925    0.000439    0.019433    0.000306     0.6842    0.6515    0.2486   -0.2393
    0.5178     0.2400     0.399   -0.068538    0.006925    0.000477    0.017405    0.000271     0.6824    0.6530    0.2486   -0.0848
    0.5702     0.2400     0.495   -0.057462    0.006926    0.000497    0.014588    0.000223     0.6798    0.6552    0.2486   -0.0208
    0.6087     0.2400     0.627   -0.042508    0.006917    0.000465    0.010790    0.000163     0.6767    0.6584   -0.0640   -0.0024
    0.6321     0.2400     0.797   -0.023147    0.006904    0.000322    0.005872    0.000086     0.6726    0.6625   -0.4831    0.0000




