xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.158173
Cy    =    0.000000
Cd    =    0.008477     ICd   =    0.001531     PCd   =    0.006946
Cl   = 2.93638e-18
Cm   =   0.0401247
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059194     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -8.247767

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400     1.591   -0.046611    0.006919    0.001294    0.011832    0.000179     0.6775    0.6575    0.0248    0.0000
   -0.6087     0.2400     1.249   -0.085688    0.006924    0.001867    0.021767    0.000345     0.6863    0.6497    0.2487   -0.0049
   -0.5702     0.2400     0.984   -0.115964    0.006924    0.001991    0.029465    0.000474     0.6933    0.6437    0.2487   -0.0419
   -0.5178     0.2400     0.785   -0.138431    0.006942    0.001898    0.035144    0.000537     0.6987    0.6391    0.2485   -0.1711
   -0.4525     0.2400     0.643   -0.154626    0.006954    0.001734    0.039238    0.000582     0.7026    0.6358    0.2484   -0.4829
   -0.3762     0.2400     0.542   -0.166024    0.006963    0.001571    0.042119    0.000613     0.7054    0.6335    0.2483   -1.0858
   -0.2906     0.2400     0.473   -0.173799    0.006970    0.001436    0.044081    0.000631     0.7072    0.6316    0.2482   -2.0897
   -0.1978     0.2400     0.429   -0.178805    0.006975    0.001339    0.045340    0.000639     0.7084    0.6302    0.2481   -3.5868
   -0.1001     0.2400     0.404   -0.181600    0.006977    0.001282    0.046043    0.000643     0.7091    0.6294    0.2481   -5.6356
   -0.0000     0.2400     0.397   -0.182499    0.006978    0.001263    0.046269    0.000645     0.7093    0.6292    0.2481   -8.2478
    0.1001     0.2400     0.404   -0.181600    0.006977    0.001282    0.046043    0.000643     0.7091    0.6294    0.2481   -5.6356
    0.1978     0.2400     0.429   -0.178805    0.006975    0.001339    0.045340    0.000639     0.7084    0.6302    0.2481   -3.5868
    0.2906     0.2400     0.473   -0.173799    0.006970    0.001436    0.044081    0.000631     0.7072    0.6316    0.2482   -2.0897
    0.3762     0.2400     0.542   -0.166024    0.006963    0.001571    0.042119    0.000613     0.7054    0.6335    0.2483   -1.0858
    0.4525     0.2400     0.643   -0.154626    0.006954    0.001734    0.039238    0.000582     0.7026    0.6358    0.2484   -0.4829
    0.5178     0.2400     0.785   -0.138431    0.006942    0.001898    0.035144    0.000537     0.6987    0.6391    0.2485   -0.1711
    0.5702     0.2400     0.984   -0.115964    0.006924    0.001991    0.029465    0.000474     0.6933    0.6437    0.2487   -0.0419
    0.6087     0.2400     1.249   -0.085688    0.006924    0.001867    0.021767    0.000345     0.6863    0.6497    0.2487   -0.0049
    0.6321     0.2400     1.591   -0.046611    0.006919    0.001294    0.011832    0.000179     0.6775    0.6575    0.0248    0.0000




