xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.000603
Cy    =    0.000000
Cd    =    0.006876     ICd   =   -0.000000     PCd   =    0.006876
Cl   = -5.73512e-21
Cm   =  -0.0001598
ICn   =    0.000000     PCn   =    0.000000 
XCP   =   -0.234572     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.028955

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400     0.001    0.000096    0.006890   -0.000000   -0.000031   -0.000007     0.6677    0.6675   -0.9835    0.0000
   -0.6087     0.2400     0.002    0.000200    0.006890   -0.000000   -0.000057   -0.000007     0.6677    0.6675   -0.9824    0.0000
   -0.5702     0.2400     0.003    0.000310    0.006890   -0.000000   -0.000085   -0.000008     0.6677    0.6676   -0.9812    0.0001
   -0.5178     0.2400     0.004    0.000424    0.006890   -0.000000   -0.000114   -0.000008     0.6676    0.6676   -0.9799    0.0004
   -0.4525     0.2400     0.005    0.000533    0.006890   -0.000000   -0.000142   -0.000009     0.6676    0.6676   -0.9788    0.0013
   -0.3762     0.2400     0.005    0.000627    0.006890   -0.000000   -0.000166   -0.000009     0.6676    0.6676   -0.9778    0.0031
   -0.2906     0.2400     0.006    0.000699    0.006890   -0.000000   -0.000184   -0.000009     0.6676    0.6676   -0.9770    0.0064
   -0.1978     0.2400     0.006    0.000747    0.006890   -0.000000   -0.000196   -0.000010     0.6676    0.6677   -0.9765    0.0116
   -0.1001     0.2400     0.007    0.000773    0.006890   -0.000000   -0.000203   -0.000010     0.6676    0.6677   -0.9762    0.0191
   -0.0000     0.2400     0.007    0.000782    0.006890   -0.000000   -0.000205   -0.000010     0.6676    0.6677   -0.9761    0.0290
    0.1001     0.2400     0.007    0.000773    0.006890   -0.000000   -0.000203   -0.000010     0.6676    0.6677   -0.9762    0.0191
    0.1978     0.2400     0.006    0.000747    0.006890   -0.000000   -0.000196   -0.000010     0.6676    0.6677   -0.9765    0.0116
    0.2906     0.2400     0.006    0.000699    0.006890   -0.000000   -0.000184   -0.000009     0.6676    0.6676   -0.9770    0.0064
    0.3762     0.2400     0.005    0.000627    0.006890   -0.000000   -0.000166   -0.000009     0.6676    0.6676   -0.9778    0.0031
    0.4525     0.2400     0.005    0.000533    0.006890   -0.000000   -0.000142   -0.000009     0.6676    0.6676   -0.9788    0.0013
    0.5178     0.2400     0.004    0.000424    0.006890   -0.000000   -0.000114   -0.000008     0.6676    0.6676   -0.9799    0.0004
    0.5702     0.2400     0.003    0.000310    0.006890   -0.000000   -0.000085   -0.000008     0.6677    0.6676   -0.9812    0.0001
    0.6087     0.2400     0.002    0.000200    0.006890   -0.000000   -0.000057   -0.000007     0.6677    0.6675   -0.9824    0.0000
    0.6321     0.2400     0.001    0.000096    0.006890   -0.000000   -0.000031   -0.000007     0.6677    0.6675   -0.9835    0.0000




