xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   11.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.805151
Cy    =    0.000000
Cd    =    0.055110     ICd   =    0.040443     PCd   =    0.014667
Cl   = -1.78442e-17
Cm   =   -0.192473
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.054950     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   42.182749

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -8.825    0.246992    0.006990    0.038043   -0.062454   -0.000705     0.6098    0.7253    0.2473    0.0000
   -0.6087     0.2400    -6.976    0.451185    0.007292    0.054934   -0.112787    0.000010     0.5181    0.7805    0.2435    0.0258
   -0.5702     0.2400    -5.261    0.602129    0.010719    0.055289   -0.144485    0.006047     0.1131    0.8477    0.2322    0.2208
   -0.5178     0.2400    -4.052    0.710543    0.012602    0.050254   -0.167224    0.010412     0.0400    0.9190    0.2265    0.8957
   -0.4525     0.2400    -3.292    0.789074    0.014014    0.045339   -0.186415    0.010853     0.0289    0.9677    0.2266    2.5108
   -0.3762     0.2400    -2.794    0.844900    0.015181    0.041199   -0.201557    0.009668     0.0251    0.9856    0.2284    5.6158
   -0.2906     0.2400    -2.419    0.881907    0.016101    0.037232   -0.210880    0.009597     0.0233    0.9925    0.2286   10.7652
   -0.1978     0.2400    -2.180    0.905353    0.016683    0.034454   -0.216769    0.009569     0.0222    0.9968    0.2287   18.4221
   -0.1001     0.2400    -2.048    0.918380    0.017006    0.032827   -0.220042    0.009553     0.0216    0.9991    0.2287   28.8767
   -0.0000     0.2400    -2.005    0.922570    0.017110    0.032291   -0.221094    0.009548     0.0213    0.9999    0.2287   42.1827
    0.1001     0.2400    -2.048    0.918380    0.017006    0.032827   -0.220042    0.009553     0.0216    0.9991    0.2287   28.8767
    0.1978     0.2400    -2.180    0.905353    0.016683    0.034454   -0.216769    0.009569     0.0222    0.9968    0.2287   18.4221
    0.2906     0.2400    -2.419    0.881907    0.016101    0.037232   -0.210880    0.009597     0.0233    0.9925    0.2286   10.7652
    0.3762     0.2400    -2.794    0.844900    0.015181    0.041199   -0.201557    0.009668     0.0251    0.9856    0.2284    5.6158
    0.4525     0.2400    -3.292    0.789074    0.014014    0.045339   -0.186415    0.010853     0.0289    0.9677    0.2266    2.5108
    0.5178     0.2400    -4.052    0.710543    0.012602    0.050254   -0.167224    0.010412     0.0400    0.9190    0.2265    0.8957
    0.5702     0.2400    -5.261    0.602129    0.010719    0.055289   -0.144485    0.006047     0.1131    0.8477    0.2322    0.2208
    0.6087     0.2400    -6.976    0.451185    0.007292    0.054934   -0.112787    0.000010     0.5181    0.7805    0.2435    0.0258
    0.6321     0.2400    -8.825    0.246992    0.006990    0.038043   -0.062454   -0.000705     0.6098    0.7253    0.2473    0.0000




