xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   11.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.835191
Cy    =    0.000000
Cd    =    0.059079     ICd   =    0.043655     PCd   =    0.015424
Cl   = -2.86862e-17
Cm   =   -0.198543
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.054530     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   43.894389

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -9.229    0.257673    0.006994    0.041506   -0.065107   -0.000689     0.6061    0.7281    0.2471    0.0000
   -0.6087     0.2400    -7.295    0.470528    0.007371    0.059909   -0.117444    0.000188     0.5011    0.7866    0.2430    0.0269
   -0.5702     0.2400    -5.473    0.627494    0.011272    0.059945   -0.149841    0.007033     0.0770    0.8616    0.2308    0.2303
   -0.5178     0.2400    -4.234    0.741033    0.013137    0.054766   -0.174083    0.011176     0.0345    0.9412    0.2258    0.9339
   -0.4525     0.2400    -3.505    0.823896    0.014662    0.050405   -0.196243    0.009731     0.0262    0.9814    0.2283    2.6178
   -0.3762     0.2400    -2.935    0.880287    0.016061    0.045098   -0.210473    0.009599     0.0234    0.9922    0.2286    5.8571
   -0.2906     0.2400    -2.563    0.916877    0.016969    0.041019   -0.219664    0.009555     0.0216    0.9989    0.2287   11.2269
   -0.1978     0.2400    -2.238    0.936474    0.017609    0.036575   -0.222025    0.012094     0.0206    1.0000    0.2258   19.2050
   -0.1001     0.2400    -2.055    0.945814    0.017947    0.033916   -0.222581    0.013872     0.0201    1.0000    0.2238   30.0800
   -0.0000     0.2400    -1.999    0.948674    0.018052    0.033091   -0.222755    0.014413     0.0200    1.0000    0.2232   43.8944
    0.1001     0.2400    -2.055    0.945814    0.017947    0.033916   -0.222581    0.013872     0.0201    1.0000    0.2238   30.0800
    0.1978     0.2400    -2.238    0.936474    0.017609    0.036575   -0.222025    0.012094     0.0206    1.0000    0.2258   19.2050
    0.2906     0.2400    -2.563    0.916877    0.016969    0.041019   -0.219664    0.009555     0.0216    0.9989    0.2287   11.2269
    0.3762     0.2400    -2.935    0.880287    0.016061    0.045098   -0.210473    0.009599     0.0234    0.9922    0.2286    5.8571
    0.4525     0.2400    -3.505    0.823896    0.014662    0.050405   -0.196243    0.009731     0.0262    0.9814    0.2283    2.6178
    0.5178     0.2400    -4.234    0.741033    0.013137    0.054766   -0.174083    0.011176     0.0345    0.9412    0.2258    0.9339
    0.5702     0.2400    -5.473    0.627494    0.011272    0.059945   -0.149841    0.007033     0.0770    0.8616    0.2308    0.2303
    0.6087     0.2400    -7.295    0.470528    0.007371    0.059909   -0.117444    0.000188     0.5011    0.7866    0.2430    0.0269
    0.6321     0.2400    -9.229    0.257673    0.006994    0.041506   -0.065107   -0.000689     0.6061    0.7281    0.2471    0.0000




