xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   14.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.977897
Cy    =    0.000000
Cd    =    0.084044     ICd   =    0.061068     PCd   =    0.022976
Cl   = -2.50722e-17
Cm   =   -0.221953
ICn   =    0.000000     PCn   =   -0.000000 
XCP   =    0.051139     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   52.071982

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -11.697    0.316836    0.007051    0.064684   -0.079764   -0.000555     0.5816    0.7434    0.2459    0.0000
   -0.6087     0.2400    -9.068    0.575849    0.010041    0.091141   -0.139064    0.004898     0.1658    0.8335    0.2340    0.0331
   -0.5702     0.2400    -6.965    0.768034    0.013622    0.093369   -0.180477    0.011531     0.0305    0.9593    0.2255    0.2822
   -0.5178     0.2400    -5.690    0.904390    0.016659    0.089818   -0.216527    0.009570     0.0222    0.9966    0.2287    1.1437
   -0.4525     0.2400    -4.292    0.984728    0.020125    0.073764   -0.226323    0.019859     0.0187    1.0000    0.2172    3.2024
   -0.3762     0.2400    -3.376    1.032057    0.023609    0.060811   -0.232850    0.025164     0.0176    1.0000    0.2116    7.1278
   -0.2906     0.2400    -2.809    1.060747    0.026125    0.052013   -0.237508    0.027679     0.0171    1.0000    0.2090   13.5666
   -0.1978     0.2400    -2.463    1.077353    0.027803    0.046321   -0.240264    0.029074     0.0167    1.0000    0.2076   23.0419
   -0.1001     0.2400    -2.272    1.085836    0.028825    0.043060   -0.241703    0.029756     0.0166    1.0000    0.2068   35.8654
   -0.0000     0.2400    -2.213    1.088448    0.029140    0.042045   -0.242147    0.029965     0.0165    1.0000    0.2066   52.0720
    0.1001     0.2400    -2.272    1.085836    0.028825    0.043060   -0.241703    0.029756     0.0166    1.0000    0.2068   35.8654
    0.1978     0.2400    -2.463    1.077353    0.027803    0.046321   -0.240264    0.029074     0.0167    1.0000    0.2076   23.0419
    0.2906     0.2400    -2.809    1.060747    0.026125    0.052013   -0.237508    0.027679     0.0171    1.0000    0.2090   13.5666
    0.3762     0.2400    -3.376    1.032057    0.023609    0.060811   -0.232850    0.025164     0.0176    1.0000    0.2116    7.1278
    0.4525     0.2400    -4.292    0.984728    0.020125    0.073764   -0.226323    0.019859     0.0187    1.0000    0.2172    3.2024
    0.5178     0.2400    -5.690    0.904390    0.016659    0.089818   -0.216527    0.009570     0.0222    0.9966    0.2287    1.1437
    0.5702     0.2400    -6.965    0.768034    0.013622    0.093369   -0.180477    0.011531     0.0305    0.9593    0.2255    0.2822
    0.6087     0.2400    -9.068    0.575849    0.010041    0.091141   -0.139064    0.004898     0.1658    0.8335    0.2340    0.0331
    0.6321     0.2400   -11.697    0.316836    0.007051    0.064684   -0.079764   -0.000555     0.5816    0.7434    0.2459    0.0000




