xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   15.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.017733
Cy    =    0.000000
Cd    =    0.093440     ICd   =    0.066587     PCd   =    0.026854
Cl   = -2.3491e-17
Cm   =   -0.228825
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.050303     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   54.399689

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400   -12.528    0.335602    0.007077    0.073382   -0.084404   -0.000503     0.5729    0.7483    0.2456    0.0000
   -0.6087     0.2400    -9.680    0.609271    0.010879    0.102933   -0.145992    0.006326     0.1023    0.8516    0.2318    0.0351
   -0.5702     0.2400    -7.601    0.812227    0.014445    0.107758   -0.192950    0.010107     0.0271    0.9768    0.2277    0.2987
   -0.5178     0.2400    -5.990    0.949154    0.018075    0.099223   -0.222806    0.014483     0.0200    1.0000    0.2231    1.2100
   -0.4525     0.2400    -4.454    1.028008    0.023275    0.079918   -0.232199    0.024803     0.0177    1.0000    0.2120    3.3795
   -0.3762     0.2400    -3.519    1.074826    0.027518    0.066008   -0.239839    0.028867     0.0168    1.0000    0.2078    7.5013
   -0.2906     0.2400    -2.903    1.101696    0.030856    0.055822   -0.244399    0.031025     0.0163    1.0000    0.2054   14.2447
   -0.1978     0.2400    -2.529    1.116331    0.033080    0.049278   -0.246901    0.032182     0.0160    1.0000    0.2041   24.1464
   -0.1001     0.2400    -2.313    1.123149    0.034552    0.045348   -0.247976    0.032811     0.0159    1.0000    0.2033   37.5220
   -0.0000     0.2400    -2.248    1.125145    0.035008    0.044139   -0.248285    0.033001     0.0158    1.0000    0.2031   54.3997
    0.1001     0.2400    -2.313    1.123149    0.034552    0.045348   -0.247976    0.032811     0.0159    1.0000    0.2033   37.5220
    0.1978     0.2400    -2.529    1.116331    0.033080    0.049278   -0.246901    0.032182     0.0160    1.0000    0.2041   24.1464
    0.2906     0.2400    -2.903    1.101696    0.030856    0.055822   -0.244399    0.031025     0.0163    1.0000    0.2054   14.2447
    0.3762     0.2400    -3.519    1.074826    0.027518    0.066008   -0.239839    0.028867     0.0168    1.0000    0.2078    7.5013
    0.4525     0.2400    -4.454    1.028008    0.023275    0.079918   -0.232199    0.024803     0.0177    1.0000    0.2120    3.3795
    0.5178     0.2400    -5.990    0.949154    0.018075    0.099223   -0.222806    0.014483     0.0200    1.0000    0.2231    1.2100
    0.5702     0.2400    -7.601    0.812227    0.014445    0.107758   -0.192950    0.010107     0.0271    0.9768    0.2277    0.2987
    0.6087     0.2400    -9.680    0.609271    0.010879    0.102933   -0.145992    0.006326     0.1023    0.8516    0.2318    0.0351
    0.6321     0.2400   -12.528    0.335602    0.007077    0.073382   -0.084404   -0.000503     0.5729    0.7483    0.2456    0.0000




