xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.158204
Cy    =    0.000000
Cd    =    0.008481     ICd   =    0.001532     PCd   =    0.006949
Cl   = -1.6376e-18
Cm   =  -0.0401519
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.056391     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    8.246174

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -1.591    0.046580    0.006899    0.001294   -0.011834   -0.000189     0.6581    0.6780   -0.4841    0.0000
   -0.6087     0.2400    -1.249    0.085613    0.006908    0.001866   -0.021748   -0.000344     0.6500    0.6867   -0.0606    0.0049
   -0.5702     0.2400    -0.984    0.115846    0.006917    0.001989   -0.029426   -0.000464     0.6437    0.6935    0.2487    0.0418
   -0.5178     0.2400    -0.786    0.138311    0.006942    0.001899   -0.035120   -0.000542     0.6390    0.6986    0.2486    0.1709
   -0.4525     0.2400    -0.644    0.154548    0.006961    0.001736   -0.039235   -0.000598     0.6356    0.7023    0.2485    0.4824
   -0.3762     0.2400    -0.543    0.166017    0.006974    0.001573   -0.042142   -0.000638     0.6332    0.7049    0.2484    1.0850
   -0.2906     0.2400    -0.474    0.173865    0.006979    0.001438   -0.044126   -0.000659     0.6314    0.7068    0.2484    2.0883
   -0.1978     0.2400    -0.429    0.178927    0.006980    0.001340   -0.045398   -0.000667     0.6300    0.7081    0.2483    3.5849
   -0.1001     0.2400    -0.404    0.181756    0.006980    0.001282   -0.046110   -0.000671     0.6292    0.7088    0.2483    5.6336
   -0.0000     0.2400    -0.396    0.182666    0.006980    0.001262   -0.046338   -0.000672     0.6290    0.7090    0.2483    8.2462
    0.1001     0.2400    -0.404    0.181756    0.006980    0.001282   -0.046110   -0.000671     0.6292    0.7088    0.2483    5.6336
    0.1978     0.2400    -0.429    0.178927    0.006980    0.001340   -0.045398   -0.000667     0.6300    0.7081    0.2483    3.5849
    0.2906     0.2400    -0.474    0.173865    0.006979    0.001438   -0.044126   -0.000659     0.6314    0.7068    0.2484    2.0883
    0.3762     0.2400    -0.543    0.166017    0.006974    0.001573   -0.042142   -0.000638     0.6332    0.7049    0.2484    1.0850
    0.4525     0.2400    -0.644    0.154548    0.006961    0.001736   -0.039235   -0.000598     0.6356    0.7023    0.2485    0.4824
    0.5178     0.2400    -0.786    0.138311    0.006942    0.001899   -0.035120   -0.000542     0.6390    0.6986    0.2486    0.1709
    0.5702     0.2400    -0.984    0.115846    0.006917    0.001989   -0.029426   -0.000464     0.6437    0.6935    0.2487    0.0418
    0.6087     0.2400    -1.249    0.085613    0.006908    0.001866   -0.021748   -0.000344     0.6500    0.6867   -0.0606    0.0049
    0.6321     0.2400    -1.591    0.046580    0.006899    0.001294   -0.011834   -0.000189     0.6581    0.6780   -0.4841    0.0000




