xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    4.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.352484
Cy    =    0.000000
Cd    =    0.014765     ICd   =    0.007671     PCd   =    0.007094
Cl   = -1.41172e-17
Cm   =  -0.0885296
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.058638     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   18.391659

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -3.585    0.104361    0.006912    0.006529   -0.026509   -0.000419     0.6461    0.6909    0.1435    0.0000
   -0.6087     0.2400    -2.816    0.191696    0.006980    0.009422   -0.048609   -0.000685     0.6265    0.7113    0.2481    0.0109
   -0.5702     0.2400    -2.216    0.259102    0.006995    0.010023   -0.065462   -0.000687     0.6056    0.7285    0.2470    0.0936
   -0.5178     0.2400    -1.769    0.308932    0.007040    0.009536   -0.077810   -0.000577     0.5852    0.7414    0.2461    0.3825
   -0.4525     0.2400    -1.446    0.344759    0.007088    0.008698   -0.086666   -0.000477     0.5691    0.7507    0.2454    1.0790
   -0.3762     0.2400    -1.218    0.369948    0.007118    0.007866   -0.092890   -0.000403     0.5590    0.7577    0.2450    2.4249
   -0.2906     0.2400    -1.063    0.387130    0.007138    0.007184   -0.097136   -0.000353     0.5521    0.7625    0.2448    4.6643
   -0.1978     0.2400    -0.963    0.398179    0.007157    0.006691   -0.099854   -0.000309     0.5472    0.7655    0.2446    8.0026
   -0.1001     0.2400    -0.906    0.404329    0.007172    0.006396   -0.101355   -0.000273     0.5439    0.7673    0.2445   12.5699
   -0.0000     0.2400    -0.888    0.406303    0.007177    0.006299   -0.101837   -0.000262     0.5428    0.7678    0.2444   18.3917
    0.1001     0.2400    -0.906    0.404329    0.007172    0.006396   -0.101355   -0.000273     0.5439    0.7673    0.2445   12.5699
    0.1978     0.2400    -0.963    0.398179    0.007157    0.006691   -0.099854   -0.000309     0.5472    0.7655    0.2446    8.0026
    0.2906     0.2400    -1.063    0.387130    0.007138    0.007184   -0.097136   -0.000353     0.5521    0.7625    0.2448    4.6643
    0.3762     0.2400    -1.218    0.369948    0.007118    0.007866   -0.092890   -0.000403     0.5590    0.7577    0.2450    2.4249
    0.4525     0.2400    -1.446    0.344759    0.007088    0.008698   -0.086666   -0.000477     0.5691    0.7507    0.2454    1.0790
    0.5178     0.2400    -1.769    0.308932    0.007040    0.009536   -0.077810   -0.000577     0.5852    0.7414    0.2461    0.3825
    0.5702     0.2400    -2.216    0.259102    0.006995    0.010023   -0.065462   -0.000687     0.6056    0.7285    0.2470    0.0936
    0.6087     0.2400    -2.816    0.191696    0.006980    0.009422   -0.048609   -0.000685     0.6265    0.7113    0.2481    0.0109
    0.6321     0.2400    -3.585    0.104361    0.006912    0.006529   -0.026509   -0.000419     0.6461    0.6909    0.1435    0.0000




