xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    5.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.390812
Cy    =    0.000000
Cd    =    0.016607     ICd   =    0.009439     PCd   =    0.007168
Cl   = -1.2649e-17
Cm   =   -0.097939
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.058643     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   20.396862

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -3.984    0.115852    0.006917    0.008055   -0.029427   -0.000464     0.6437    0.6935    0.2487    0.0000
   -0.6087     0.2400    -3.130    0.212771    0.006981    0.011623   -0.053908   -0.000715     0.6207    0.7166    0.2479    0.0121
   -0.5702     0.2400    -2.462    0.287512    0.007011    0.012353   -0.072515   -0.000637     0.5951    0.7359    0.2465    0.1040
   -0.5178     0.2400    -1.964    0.342733    0.007086    0.011748   -0.086166   -0.000483     0.5699    0.7502    0.2454    0.4245
   -0.4525     0.2400    -1.606    0.382411    0.007133    0.010717   -0.095970   -0.000367     0.5540    0.7612    0.2448    1.1973
   -0.3762     0.2400    -1.352    0.410236    0.007187    0.009682   -0.102798   -0.000239     0.5408    0.7689    0.2443    2.6905
   -0.2906     0.2400    -1.179    0.429156    0.007233    0.008828   -0.107417   -0.000128     0.5307    0.7742    0.2440    5.1746
   -0.1978     0.2400    -1.067    0.441321    0.007263    0.008219   -0.110387   -0.000057     0.5243    0.7776    0.2437    8.8771
   -0.1001     0.2400    -1.005    0.448108    0.007280    0.007858   -0.112044   -0.000017     0.5206    0.7795    0.2436   13.9418
   -0.0000     0.2400    -0.984    0.450287    0.007288    0.007737   -0.112570    0.000001     0.5189    0.7802    0.2435   20.3969
    0.1001     0.2400    -1.005    0.448108    0.007280    0.007858   -0.112044   -0.000017     0.5206    0.7795    0.2436   13.9418
    0.1978     0.2400    -1.067    0.441321    0.007263    0.008219   -0.110387   -0.000057     0.5243    0.7776    0.2437    8.8771
    0.2906     0.2400    -1.179    0.429156    0.007233    0.008828   -0.107417   -0.000128     0.5307    0.7742    0.2440    5.1746
    0.3762     0.2400    -1.352    0.410236    0.007187    0.009682   -0.102798   -0.000239     0.5408    0.7689    0.2443    2.6905
    0.4525     0.2400    -1.606    0.382411    0.007133    0.010717   -0.095970   -0.000367     0.5540    0.7612    0.2448    1.1973
    0.5178     0.2400    -1.964    0.342733    0.007086    0.011748   -0.086166   -0.000483     0.5699    0.7502    0.2454    0.4245
    0.5702     0.2400    -2.462    0.287512    0.007011    0.012353   -0.072515   -0.000637     0.5951    0.7359    0.2465    0.1040
    0.6087     0.2400    -3.130    0.212771    0.006981    0.011623   -0.053908   -0.000715     0.6207    0.7166    0.2479    0.0121
    0.6321     0.2400    -3.984    0.115852    0.006917    0.008055   -0.029427   -0.000464     0.6437    0.6935    0.2487    0.0000




