xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    5.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.428797
Cy    =    0.000000
Cd    =    0.018651     ICd   =    0.011369     PCd   =    0.007281
Cl   = 3.38813e-19
Cm   =   -0.107179
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.058438     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   22.387845

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -4.383    0.127308    0.006930    0.009739   -0.032331   -0.000504     0.6413    0.6961    0.2486    0.0000
   -0.6087     0.2400    -3.443    0.233774    0.006984    0.014049   -0.059170   -0.000726     0.6144    0.7219    0.2475    0.0133
   -0.5702     0.2400    -2.707    0.315814    0.007050    0.014919   -0.079512   -0.000558     0.5821    0.7432    0.2459    0.1142
   -0.5178     0.2400    -2.160    0.376394    0.007126    0.014190   -0.094483   -0.000385     0.5564    0.7595    0.2449    0.4664
   -0.4525     0.2400    -1.764    0.419823    0.007210    0.012927   -0.105138   -0.000183     0.5357    0.7716    0.2441    1.3152
   -0.3762     0.2400    -1.485    0.450218    0.007288    0.011670   -0.112554    0.000001     0.5190    0.7802    0.2435    2.9550
   -0.2906     0.2400    -1.293    0.470797    0.007372    0.010621   -0.117509    0.000190     0.5008    0.7867    0.2430    5.6824
   -0.1978     0.2400    -1.169    0.483994    0.007426    0.009875   -0.120686    0.000312     0.4892    0.7909    0.2427    9.7466
   -0.1001     0.2400    -1.100    0.491347    0.007456    0.009435   -0.122457    0.000380     0.4827    0.7932    0.2425   15.3049
   -0.0000     0.2400    -1.078    0.493708    0.007466    0.009290   -0.123025    0.000402     0.4806    0.7940    0.2425   22.3878
    0.1001     0.2400    -1.100    0.491347    0.007456    0.009435   -0.122457    0.000380     0.4827    0.7932    0.2425   15.3049
    0.1978     0.2400    -1.169    0.483994    0.007426    0.009875   -0.120686    0.000312     0.4892    0.7909    0.2427    9.7466
    0.2906     0.2400    -1.293    0.470797    0.007372    0.010621   -0.117509    0.000190     0.5008    0.7867    0.2430    5.6824
    0.3762     0.2400    -1.485    0.450218    0.007288    0.011670   -0.112554    0.000001     0.5190    0.7802    0.2435    2.9550
    0.4525     0.2400    -1.764    0.419823    0.007210    0.012927   -0.105138   -0.000183     0.5357    0.7716    0.2441    1.3152
    0.5178     0.2400    -2.160    0.376394    0.007126    0.014190   -0.094483   -0.000385     0.5564    0.7595    0.2449    0.4664
    0.5702     0.2400    -2.707    0.315814    0.007050    0.014919   -0.079512   -0.000558     0.5821    0.7432    0.2459    0.1142
    0.6087     0.2400    -3.443    0.233774    0.006984    0.014049   -0.059170   -0.000726     0.6144    0.7219    0.2475    0.0133
    0.6321     0.2400    -4.383    0.127308    0.006930    0.009739   -0.032331   -0.000504     0.6413    0.6961    0.2486    0.0000




