xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    6.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.463818
Cy    =    0.000000
Cd    =    0.021029     ICd   =    0.013349     PCd   =    0.007680
Cl   = -2.08935e-17
Cm   =    -0.11515
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.057980     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   24.273906

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -4.784    0.138544    0.006942    0.011569   -0.035179   -0.000543     0.6390    0.6987    0.2486    0.0000
   -0.6087     0.2400    -3.759    0.254337    0.006993    0.016687   -0.064278   -0.000694     0.6072    0.7272    0.2471    0.0145
   -0.5702     0.2400    -2.957    0.343472    0.007087    0.017728   -0.086348   -0.000481     0.5696    0.7504    0.2454    0.1243
   -0.5178     0.2400    -2.362    0.409134    0.007184    0.016869   -0.102529   -0.000245     0.5413    0.7686    0.2444    0.5073
   -0.4525     0.2400    -1.931    0.455962    0.007312    0.015370   -0.113937    0.000054     0.5139    0.7820    0.2434    1.4303
   -0.3762     0.2400    -1.628    0.488359    0.007444    0.013878   -0.121738    0.000352     0.4853    0.7923    0.2426    3.2126
   -0.2906     0.2400    -1.408    0.509517    0.007728    0.012521   -0.126469    0.000910     0.4410    0.8001    0.2414    6.1750
   -0.1978     0.2400    -1.252    0.522148    0.008114    0.011412   -0.128896    0.001641     0.3863    0.8059    0.2400   10.5850
   -0.1001     0.2400    -1.168    0.528950    0.008322    0.010786   -0.130203    0.002035     0.3568    0.8091    0.2392   16.6083
   -0.0000     0.2400    -1.142    0.531109    0.008388    0.010583   -0.130618    0.002159     0.3475    0.8101    0.2389   24.2739
    0.1001     0.2400    -1.168    0.528950    0.008322    0.010786   -0.130203    0.002035     0.3568    0.8091    0.2392   16.6083
    0.1978     0.2400    -1.252    0.522148    0.008114    0.011412   -0.128896    0.001641     0.3863    0.8059    0.2400   10.5850
    0.2906     0.2400    -1.408    0.509517    0.007728    0.012521   -0.126469    0.000910     0.4410    0.8001    0.2414    6.1750
    0.3762     0.2400    -1.628    0.488359    0.007444    0.013878   -0.121738    0.000352     0.4853    0.7923    0.2426    3.2126
    0.4525     0.2400    -1.931    0.455962    0.007312    0.015370   -0.113937    0.000054     0.5139    0.7820    0.2434    1.4303
    0.5178     0.2400    -2.362    0.409134    0.007184    0.016869   -0.102529   -0.000245     0.5413    0.7686    0.2444    0.5073
    0.5702     0.2400    -2.957    0.343472    0.007087    0.017728   -0.086348   -0.000481     0.5696    0.7504    0.2454    0.1243
    0.6087     0.2400    -3.759    0.254337    0.006993    0.016687   -0.064278   -0.000694     0.6072    0.7272    0.2471    0.0145
    0.6321     0.2400    -4.784    0.138544    0.006942    0.011569   -0.035179   -0.000543     0.6390    0.6987    0.2486    0.0000




