xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.559955
Cy    =    0.000000
Cd    =    0.029544     ICd   =    0.019605     PCd   =    0.009939
Cl   = -2.71051e-18
Cm   =   -0.135251
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.056143     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   29.445316

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2400    -5.997    0.171232    0.006979    0.017922   -0.043464   -0.000656     0.6321    0.7061    0.2484    0.0000
   -0.6087     0.2400    -4.723    0.313959    0.007047    0.025882   -0.079053   -0.000563     0.5829    0.7427    0.2460    0.0179
   -0.5702     0.2400    -3.734    0.423120    0.007218    0.027575   -0.105943   -0.000163     0.5339    0.7725    0.2441    0.1535
   -0.5178     0.2400    -3.002    0.501812    0.007499    0.026295   -0.124977    0.000476     0.4735    0.7966    0.2423    0.6258
   -0.4525     0.2400    -2.355    0.553789    0.009177    0.022760   -0.134925    0.003522     0.2533    0.8215    0.2364    1.7610
   -0.3762     0.2400    -1.919    0.588264    0.010408    0.019699   -0.141560    0.005506     0.1341    0.8402    0.2330    3.9422
   -0.2906     0.2400    -1.653    0.611613    0.010932    0.017647   -0.146486    0.006417     0.0988    0.8528    0.2316    7.5491
   -0.1978     0.2400    -1.485    0.626474    0.011256    0.016234   -0.149623    0.006995     0.0776    0.8610    0.2308   12.8980
   -0.1001     0.2400    -1.394    0.634766    0.011388    0.015440   -0.151388    0.007304     0.0729    0.8662    0.2304   20.1854
   -0.0000     0.2400    -1.364    0.637427    0.011431    0.015179   -0.151954    0.007403     0.0714    0.8679    0.2303   29.4453
    0.1001     0.2400    -1.394    0.634766    0.011388    0.015440   -0.151388    0.007304     0.0729    0.8662    0.2304   20.1854
    0.1978     0.2400    -1.485    0.626474    0.011256    0.016234   -0.149623    0.006995     0.0776    0.8610    0.2308   12.8980
    0.2906     0.2400    -1.653    0.611613    0.010932    0.017647   -0.146486    0.006417     0.0988    0.8528    0.2316    7.5491
    0.3762     0.2400    -1.919    0.588264    0.010408    0.019699   -0.141560    0.005506     0.1341    0.8402    0.2330    3.9422
    0.4525     0.2400    -2.355    0.553789    0.009177    0.022760   -0.134925    0.003522     0.2533    0.8215    0.2364    1.7610
    0.5178     0.2400    -3.002    0.501812    0.007499    0.026295   -0.124977    0.000476     0.4735    0.7966    0.2423    0.6258
    0.5702     0.2400    -3.734    0.423120    0.007218    0.027575   -0.105943   -0.000163     0.5339    0.7725    0.2441    0.1535
    0.6087     0.2400    -4.723    0.313959    0.007047    0.025882   -0.079053   -0.000563     0.5829    0.7427    0.2460    0.0179
    0.6321     0.2400    -5.997    0.171232    0.006979    0.017922   -0.043464   -0.000656     0.6321    0.7061    0.2484    0.0000




