xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -0.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.038882
Cy    =    0.000000
Cd    =    0.007007     ICd   =    0.000099     PCd   =    0.006908
Cl   = 1.08955e-18
Cm   =  0.00992201
ICn   =    0.000000     PCn   =    0.000000 
XCP   =   -0.034602     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -2.024650

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238     0.392   -0.012302    0.007105    0.000084    0.003753    0.000046     0.6749    0.6696   -0.2375    0.0000
   -0.6087     0.2388     0.314   -0.021221    0.006914    0.000116    0.005473    0.000078     0.6725    0.6632   -0.6411   -0.0012
   -0.5702     0.2400     0.249   -0.028553    0.006908    0.000124    0.007261    0.000107     0.6737    0.6614   -0.4304   -0.0103
   -0.5178     0.2400     0.201   -0.034034    0.006911    0.000119    0.008656    0.000129     0.6749    0.6602   -0.2994   -0.0421
   -0.4525     0.2400     0.167   -0.037962    0.006914    0.000110    0.009655    0.000145     0.6757    0.6594   -0.2055   -0.1189
   -0.3762     0.2400     0.143   -0.040715    0.006916    0.000101    0.010356    0.000156     0.6763    0.6588   -0.1396   -0.2671
   -0.2906     0.2400     0.126   -0.042591    0.006917    0.000094    0.010834    0.000163     0.6767    0.6584   -0.0948   -0.5137
   -0.1978     0.2400     0.115   -0.043801    0.006918    0.000088    0.011142    0.000168     0.6769    0.6581   -0.0658   -0.8812
   -0.1001     0.2400     0.109   -0.044479    0.006918    0.000085    0.011314    0.000171     0.6771    0.6580   -0.0496   -1.3839
   -0.0000     0.2400     0.108   -0.044697    0.006918    0.000084    0.011370    0.000172     0.6771    0.6579   -0.0444   -2.0247
    0.1001     0.2400     0.109   -0.044479    0.006918    0.000085    0.011314    0.000171     0.6771    0.6580   -0.0496   -1.3839
    0.1978     0.2400     0.115   -0.043801    0.006918    0.000088    0.011142    0.000168     0.6769    0.6581   -0.0658   -0.8812
    0.2906     0.2400     0.126   -0.042591    0.006917    0.000094    0.010834    0.000163     0.6767    0.6584   -0.0948   -0.5137
    0.3762     0.2400     0.143   -0.040715    0.006916    0.000101    0.010356    0.000156     0.6763    0.6588   -0.1396   -0.2671
    0.4525     0.2400     0.167   -0.037962    0.006914    0.000110    0.009655    0.000145     0.6757    0.6594   -0.2055   -0.1189
    0.5178     0.2400     0.201   -0.034034    0.006911    0.000119    0.008656    0.000129     0.6749    0.6602   -0.2994   -0.0421
    0.5702     0.2400     0.249   -0.028553    0.006908    0.000124    0.007261    0.000107     0.6737    0.6614   -0.4304   -0.0103
    0.6087     0.2388     0.314   -0.021221    0.006914    0.000116    0.005473    0.000078     0.6725    0.6632   -0.6411   -0.0012
    0.6321     0.2238     0.392   -0.012302    0.007105    0.000084    0.003753    0.000046     0.6749    0.6696   -0.2375    0.0000




