xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -1.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.078431
Cy    =    0.000000
Cd    =    0.007309     ICd   =    0.000391     PCd   =    0.006917
Cl   =   2.264e-19
Cm   =   0.0200288
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.056982     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -4.081028

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238     0.783   -0.024712    0.007106    0.000338    0.007537    0.000091     0.6776    0.6669   -0.1023    0.0000
   -0.6087     0.2388     0.625   -0.042654    0.006928    0.000466    0.011005    0.000162     0.6770    0.6587   -0.1073   -0.0024
   -0.5702     0.2400     0.496   -0.057438    0.006926    0.000497    0.014613    0.000223     0.6798    0.6552    0.2486   -0.0207
   -0.5178     0.2400     0.399   -0.068527    0.006925    0.000477    0.017439    0.000271     0.6823    0.6530    0.2486   -0.0847
   -0.4525     0.2400     0.329   -0.076507    0.006925    0.000439    0.019473    0.000306     0.6842    0.6515    0.2486   -0.2391
   -0.3762     0.2400     0.280   -0.082121    0.006924    0.000401    0.020904    0.000330     0.6855    0.6504    0.2487   -0.5376
   -0.2906     0.2400     0.246   -0.085957    0.006924    0.000369    0.021882    0.000347     0.6863    0.6496    0.2487   -1.0343
   -0.1978     0.2400     0.225   -0.088432    0.006924    0.000347    0.022513    0.000357     0.6869    0.6491    0.2487   -1.7751
   -0.1001     0.2400     0.212   -0.089818    0.006924    0.000333    0.022866    0.000363     0.6872    0.6489    0.2487   -2.7887
   -0.0000     0.2400     0.209   -0.090264    0.006924    0.000329    0.022980    0.000365     0.6873    0.6488    0.2487   -4.0810
    0.1001     0.2400     0.212   -0.089818    0.006924    0.000333    0.022866    0.000363     0.6872    0.6489    0.2487   -2.7887
    0.1978     0.2400     0.225   -0.088432    0.006924    0.000347    0.022513    0.000357     0.6869    0.6491    0.2487   -1.7751
    0.2906     0.2400     0.246   -0.085957    0.006924    0.000369    0.021882    0.000347     0.6863    0.6496    0.2487   -1.0343
    0.3762     0.2400     0.280   -0.082121    0.006924    0.000401    0.020904    0.000330     0.6855    0.6504    0.2487   -0.5376
    0.4525     0.2400     0.329   -0.076507    0.006925    0.000439    0.019473    0.000306     0.6842    0.6515    0.2486   -0.2391
    0.5178     0.2400     0.399   -0.068527    0.006925    0.000477    0.017439    0.000271     0.6823    0.6530    0.2486   -0.0847
    0.5702     0.2400     0.496   -0.057438    0.006926    0.000497    0.014613    0.000223     0.6798    0.6552    0.2486   -0.0207
    0.6087     0.2388     0.625   -0.042654    0.006928    0.000466    0.011005    0.000162     0.6770    0.6587   -0.1073   -0.0024
    0.6321     0.2238     0.783   -0.024712    0.007106    0.000338    0.007537    0.000091     0.6776    0.6669   -0.1023    0.0000




