xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.157310
Cy    =    0.000000
Cd    =    0.008506     ICd   =    0.001553     PCd   =    0.006953
Cl   =  5.2072e-18
Cm   =   0.0401213
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059567     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   -8.185017

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238     1.565   -0.049524    0.007108    0.001353    0.015101    0.000180     0.6830    0.6616    0.1679    0.0000
   -0.6087     0.2388     1.250   -0.085510    0.006935    0.001866    0.022080    0.000344     0.6865    0.6500    0.2486   -0.0048
   -0.5702     0.2400     0.990   -0.115185    0.006923    0.001991    0.029330    0.000472     0.6931    0.6439    0.2488   -0.0415
   -0.5178     0.2400     0.794   -0.137434    0.006941    0.001905    0.034966    0.000534     0.6985    0.6393    0.2485   -0.1698
   -0.4525     0.2400     0.653   -0.153448    0.006953    0.001749    0.039022    0.000578     0.7023    0.6360    0.2484   -0.4794
   -0.3762     0.2400     0.554   -0.164719    0.006962    0.001592    0.041878    0.000610     0.7050    0.6337    0.2483   -1.0780
   -0.2906     0.2400     0.486   -0.172417    0.006969    0.001462    0.043825    0.000629     0.7069    0.6320    0.2482   -2.0743
   -0.1978     0.2400     0.442   -0.177380    0.006973    0.001368    0.045077    0.000637     0.7081    0.6306    0.2482   -3.5600
   -0.1001     0.2400     0.417   -0.180157    0.006976    0.001312    0.045777    0.000641     0.7087    0.6298    0.2481   -5.5930
   -0.0000     0.2400     0.409   -0.181051    0.006977    0.001294    0.046002    0.000643     0.7089    0.6296    0.2481   -8.1850
    0.1001     0.2400     0.417   -0.180157    0.006976    0.001312    0.045777    0.000641     0.7087    0.6298    0.2481   -5.5930
    0.1978     0.2400     0.442   -0.177380    0.006973    0.001368    0.045077    0.000637     0.7081    0.6306    0.2482   -3.5600
    0.2906     0.2400     0.486   -0.172417    0.006969    0.001462    0.043825    0.000629     0.7069    0.6320    0.2482   -2.0743
    0.3762     0.2400     0.554   -0.164719    0.006962    0.001592    0.041878    0.000610     0.7050    0.6337    0.2483   -1.0780
    0.4525     0.2400     0.653   -0.153448    0.006953    0.001749    0.039022    0.000578     0.7023    0.6360    0.2484   -0.4794
    0.5178     0.2400     0.794   -0.137434    0.006941    0.001905    0.034966    0.000534     0.6985    0.6393    0.2485   -0.1698
    0.5702     0.2400     0.990   -0.115185    0.006923    0.001991    0.029330    0.000472     0.6931    0.6439    0.2488   -0.0415
    0.6087     0.2388     1.250   -0.085510    0.006935    0.001866    0.022080    0.000344     0.6865    0.6500    0.2486   -0.0048
    0.6321     0.2238     1.565   -0.049524    0.007108    0.001353    0.015101    0.000180     0.6830    0.6616    0.1679    0.0000




