xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -2.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.196590
Cy    =    0.000000
Cd    =    0.009408     ICd   =    0.002421     PCd   =    0.006988
Cl   = 9.05601e-18
Cm   =   0.0500687
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059589     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =  -10.228740

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238     1.956   -0.061902    0.007110    0.002114    0.018878    0.000227     0.6857    0.6590    0.2483    0.0000
   -0.6087     0.2388     1.563   -0.106882    0.006933    0.002916    0.027607    0.000438     0.6915    0.6458    0.2487   -0.0060
   -0.5702     0.2400     1.237   -0.143947    0.006946    0.003107    0.036616    0.000552     0.7000    0.6380    0.2485   -0.0519
   -0.5178     0.2400     0.992   -0.171747    0.006968    0.002973    0.043657    0.000628     0.7067    0.6322    0.2482   -0.2123
   -0.4525     0.2400     0.815   -0.191755    0.006987    0.002727    0.048700    0.000659     0.7115    0.6266    0.2480   -0.5992
   -0.3762     0.2400     0.690   -0.205839    0.007000    0.002480    0.052251    0.000681     0.7148    0.6226    0.2478   -1.3472
   -0.2906     0.2400     0.605   -0.215463    0.007010    0.002276    0.054677    0.000696     0.7171    0.6198    0.2477   -2.5923
   -0.1978     0.2400     0.550   -0.221674    0.007016    0.002129    0.056242    0.000705     0.7186    0.6181    0.2476   -4.4489
   -0.1001     0.2400     0.520   -0.225150    0.007019    0.002042    0.057118    0.000711     0.7194    0.6171    0.2476   -6.9896
   -0.0000     0.2400     0.510   -0.226269    0.007020    0.002013    0.057400    0.000712     0.7197    0.6168    0.2476   -10.2287
    0.1001     0.2400     0.520   -0.225150    0.007019    0.002042    0.057118    0.000711     0.7194    0.6171    0.2476   -6.9896
    0.1978     0.2400     0.550   -0.221674    0.007016    0.002129    0.056242    0.000705     0.7186    0.6181    0.2476   -4.4489
    0.2906     0.2400     0.605   -0.215463    0.007010    0.002276    0.054677    0.000696     0.7171    0.6198    0.2477   -2.5923
    0.3762     0.2400     0.690   -0.205839    0.007000    0.002480    0.052251    0.000681     0.7148    0.6226    0.2478   -1.3472
    0.4525     0.2400     0.815   -0.191755    0.006987    0.002727    0.048700    0.000659     0.7115    0.6266    0.2480   -0.5992
    0.5178     0.2400     0.992   -0.171747    0.006968    0.002973    0.043657    0.000628     0.7067    0.6322    0.2482   -0.2123
    0.5702     0.2400     1.237   -0.143947    0.006946    0.003107    0.036616    0.000552     0.7000    0.6380    0.2485   -0.0519
    0.6087     0.2388     1.563   -0.106882    0.006933    0.002916    0.027607    0.000438     0.6915    0.6458    0.2487   -0.0060
    0.6321     0.2238     1.956   -0.061902    0.007110    0.002114    0.018878    0.000227     0.6857    0.6590    0.2483    0.0000




