xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   -3.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =   -0.236873
Cy    =    0.000000
Cd    =    0.010441     ICd   =    0.003442     PCd   =    0.006999
Cl   =  5.8298e-18
Cm   =   0.0601812
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.059416     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =  -12.325326

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238     2.346   -0.074502    0.007114    0.003050    0.022726    0.000279     0.6886    0.6565    0.2484    0.0000
   -0.6087     0.2388     1.871   -0.128683    0.006944    0.004203    0.033220    0.000509     0.6966    0.6414    0.2486   -0.0073
   -0.5702     0.2400     1.477   -0.173390    0.006970    0.004470    0.044071    0.000631     0.7071    0.6318    0.2482   -0.0625
   -0.5178     0.2400     1.180   -0.206967    0.007002    0.004264    0.052535    0.000683     0.7151    0.6222    0.2478   -0.2556
   -0.4525     0.2400     0.966   -0.231141    0.007020    0.003898    0.058616    0.000707     0.7210    0.6151    0.2475   -0.7217
   -0.3762     0.2400     0.814   -0.248099    0.007018    0.003526    0.062834    0.000677     0.7254    0.6092    0.2471   -1.6230
   -0.2906     0.2400     0.711   -0.259648    0.007017    0.003221    0.065707    0.000657     0.7284    0.6052    0.2469   -3.1234
   -0.1978     0.2400     0.644   -0.267077    0.007016    0.003002    0.067555    0.000643     0.7304    0.6026    0.2468   -5.3608
   -0.1001     0.2400     0.607   -0.271224    0.007016    0.002873    0.068587    0.000636     0.7314    0.6011    0.2467   -8.4223
   -0.0000     0.2400     0.595   -0.272557    0.007015    0.002830    0.068919    0.000634     0.7318    0.6007    0.2466   -12.3253
    0.1001     0.2400     0.607   -0.271224    0.007016    0.002873    0.068587    0.000636     0.7314    0.6011    0.2467   -8.4223
    0.1978     0.2400     0.644   -0.267077    0.007016    0.003002    0.067555    0.000643     0.7304    0.6026    0.2468   -5.3608
    0.2906     0.2400     0.711   -0.259648    0.007017    0.003221    0.065707    0.000657     0.7284    0.6052    0.2469   -3.1234
    0.3762     0.2400     0.814   -0.248099    0.007018    0.003526    0.062834    0.000677     0.7254    0.6092    0.2471   -1.6230
    0.4525     0.2400     0.966   -0.231141    0.007020    0.003898    0.058616    0.000707     0.7210    0.6151    0.2475   -0.7217
    0.5178     0.2400     1.180   -0.206967    0.007002    0.004264    0.052535    0.000683     0.7151    0.6222    0.2478   -0.2556
    0.5702     0.2400     1.477   -0.173390    0.006970    0.004470    0.044071    0.000631     0.7071    0.6318    0.2482   -0.0625
    0.6087     0.2388     1.871   -0.128683    0.006944    0.004203    0.033220    0.000509     0.6966    0.6414    0.2486   -0.0073
    0.6321     0.2238     2.346   -0.074502    0.007114    0.003050    0.022726    0.000279     0.6886    0.6565    0.2484    0.0000




