xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    0.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.000605
Cy    =    0.000000
Cd    =    0.006884     ICd   =   -0.000000     PCd   =    0.006884
Cl   = -2.79684e-20
Cm   = -0.000160677
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =   -0.264747     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    0.028942

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238     0.001    0.000102    0.007103   -0.000000   -0.000029    0.000002     0.6723    0.6723   -0.3708    0.0000
   -0.6087     0.2388     0.002    0.000199    0.006900   -0.000000   -0.000056   -0.000006     0.6680    0.6678   -1.1671    0.0000
   -0.5702     0.2400     0.003    0.000310    0.006890   -0.000000   -0.000086   -0.000008     0.6677    0.6675   -1.1098    0.0001
   -0.5178     0.2400     0.004    0.000424    0.006890   -0.000000   -0.000115   -0.000008     0.6676    0.6676   -1.1085    0.0004
   -0.4525     0.2400     0.005    0.000533    0.006890   -0.000000   -0.000142   -0.000009     0.6676    0.6676   -1.1072    0.0013
   -0.3762     0.2400     0.005    0.000627    0.006890   -0.000000   -0.000166   -0.000009     0.6676    0.6676   -1.1060    0.0031
   -0.2906     0.2400     0.006    0.000699    0.006890   -0.000000   -0.000185   -0.000009     0.6676    0.6676   -1.1052    0.0064
   -0.1978     0.2400     0.006    0.000747    0.006890   -0.000000   -0.000197   -0.000010     0.6676    0.6676   -1.1046    0.0116
   -0.1001     0.2400     0.007    0.000773    0.006890   -0.000000   -0.000204   -0.000010     0.6676    0.6677   -1.1043    0.0191
   -0.0000     0.2400     0.007    0.000782    0.006890   -0.000000   -0.000206   -0.000010     0.6676    0.6677   -1.1042    0.0289
    0.1001     0.2400     0.007    0.000773    0.006890   -0.000000   -0.000204   -0.000010     0.6676    0.6677   -1.1043    0.0191
    0.1978     0.2400     0.006    0.000747    0.006890   -0.000000   -0.000197   -0.000010     0.6676    0.6676   -1.1046    0.0116
    0.2906     0.2400     0.006    0.000699    0.006890   -0.000000   -0.000185   -0.000009     0.6676    0.6676   -1.1052    0.0064
    0.3762     0.2400     0.005    0.000627    0.006890   -0.000000   -0.000166   -0.000009     0.6676    0.6676   -1.1060    0.0031
    0.4525     0.2400     0.005    0.000533    0.006890   -0.000000   -0.000142   -0.000009     0.6676    0.6676   -1.1072    0.0013
    0.5178     0.2400     0.004    0.000424    0.006890   -0.000000   -0.000115   -0.000008     0.6676    0.6676   -1.1085    0.0004
    0.5702     0.2400     0.003    0.000310    0.006890   -0.000000   -0.000086   -0.000008     0.6677    0.6675   -1.1098    0.0001
    0.6087     0.2388     0.002    0.000199    0.006900   -0.000000   -0.000056   -0.000006     0.6680    0.6678   -1.1671    0.0000
    0.6321     0.2238     0.001    0.000102    0.007103   -0.000000   -0.000029    0.000002     0.6723    0.6723   -0.3708    0.0000




