xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    1.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.079627
Cy    =    0.000000
Cd    =    0.007282     ICd   =    0.000382     PCd   =    0.006901
Cl   = -2.2357e-18
Cm   =  -0.0203351
ICn   =    0.000000     PCn   =    0.000000 
XCP   =   -0.029673     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    4.138550

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -0.781    0.024921    0.007099    0.000340   -0.007604   -0.000095     0.6671    0.6778   -0.2764    0.0000
   -0.6087     0.2388    -0.622    0.043061    0.006909    0.000468   -0.011121   -0.000175     0.6591    0.6774   -0.6344    0.0024
   -0.5702     0.2400    -0.491    0.058065    0.006902    0.000497   -0.014782   -0.000234     0.6557    0.6805   -0.4239    0.0209
   -0.5178     0.2400    -0.392    0.069377    0.006904    0.000474   -0.017661   -0.000280     0.6533    0.6830   -0.2879    0.0856
   -0.4525     0.2400    -0.320    0.077568    0.006906    0.000433   -0.019746   -0.000312     0.6516    0.6849   -0.1895    0.2417
   -0.3762     0.2400    -0.269    0.083363    0.006908    0.000391   -0.021221   -0.000335     0.6504    0.6862   -0.1199    0.5438
   -0.2906     0.2400    -0.234    0.087337    0.006909    0.000357   -0.022232   -0.000351     0.6496    0.6871   -0.0721    1.0472
   -0.1978     0.2400    -0.212    0.089904    0.006909    0.000332   -0.022885   -0.000361     0.6491    0.6876   -0.0413    1.7983
   -0.1001     0.2400    -0.199    0.091339    0.006909    0.000317   -0.023251   -0.000367     0.6488    0.6880   -0.0240    2.8268
   -0.0000     0.2400    -0.195    0.091801    0.006910    0.000312   -0.023368   -0.000369     0.6487    0.6881   -0.0184    4.1385
    0.1001     0.2400    -0.199    0.091339    0.006909    0.000317   -0.023251   -0.000367     0.6488    0.6880   -0.0240    2.8268
    0.1978     0.2400    -0.212    0.089904    0.006909    0.000332   -0.022885   -0.000361     0.6491    0.6876   -0.0413    1.7983
    0.2906     0.2400    -0.234    0.087337    0.006909    0.000357   -0.022232   -0.000351     0.6496    0.6871   -0.0721    1.0472
    0.3762     0.2400    -0.269    0.083363    0.006908    0.000391   -0.021221   -0.000335     0.6504    0.6862   -0.1199    0.5438
    0.4525     0.2400    -0.320    0.077568    0.006906    0.000433   -0.019746   -0.000312     0.6516    0.6849   -0.1895    0.2417
    0.5178     0.2400    -0.392    0.069377    0.006904    0.000474   -0.017661   -0.000280     0.6533    0.6830   -0.2879    0.0856
    0.5702     0.2400    -0.491    0.058065    0.006902    0.000497   -0.014782   -0.000234     0.6557    0.6805   -0.4239    0.0209
    0.6087     0.2388    -0.622    0.043061    0.006909    0.000468   -0.011121   -0.000175     0.6591    0.6774   -0.6344    0.0024
    0.6321     0.2238    -0.781    0.024921    0.007099    0.000340   -0.007604   -0.000095     0.6671    0.6778   -0.2764    0.0000




