xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    1.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.119121
Cy    =    0.000000
Cd    =    0.007783     ICd   =    0.000862     PCd   =    0.006921
Cl   =   -2.83e-19
Cm   =  -0.0304134
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.048703     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    6.192757

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -1.172    0.037330    0.007097    0.000764   -0.011391   -0.000144     0.6646    0.6806   -0.2291    0.0000
   -0.6087     0.2388    -0.934    0.064491    0.006914    0.001052   -0.016653   -0.000260     0.6546    0.6822   -0.3679    0.0036
   -0.5702     0.2400    -0.738    0.086942    0.006908    0.001119   -0.022132   -0.000350     0.6497    0.6870   -0.0768    0.0313
   -0.5178     0.2400    -0.589    0.103851    0.006912    0.001068   -0.026435   -0.000417     0.6462    0.6908    0.1264    0.1281
   -0.4525     0.2400    -0.482    0.116079    0.006917    0.000976   -0.029547   -0.000465     0.6436    0.6935    0.2487    0.3619
   -0.3762     0.2400    -0.406    0.124718    0.006927    0.000884   -0.031741   -0.000495     0.6418    0.6955    0.2486    0.8142
   -0.2906     0.2400    -0.354    0.130634    0.006934    0.000807   -0.033244   -0.000515     0.6406    0.6968    0.2486    1.5675
   -0.1978     0.2400    -0.320    0.134454    0.006938    0.000752   -0.034214   -0.000529     0.6398    0.6977    0.2486    2.6915
   -0.1001     0.2400    -0.302    0.136591    0.006940    0.000719   -0.034757   -0.000536     0.6394    0.6982    0.2486    4.2303
   -0.0000     0.2400    -0.296    0.137278    0.006941    0.000708   -0.034931   -0.000538     0.6392    0.6984    0.2486    6.1928
    0.1001     0.2400    -0.302    0.136591    0.006940    0.000719   -0.034757   -0.000536     0.6394    0.6982    0.2486    4.2303
    0.1978     0.2400    -0.320    0.134454    0.006938    0.000752   -0.034214   -0.000529     0.6398    0.6977    0.2486    2.6915
    0.2906     0.2400    -0.354    0.130634    0.006934    0.000807   -0.033244   -0.000515     0.6406    0.6968    0.2486    1.5675
    0.3762     0.2400    -0.406    0.124718    0.006927    0.000884   -0.031741   -0.000495     0.6418    0.6955    0.2486    0.8142
    0.4525     0.2400    -0.482    0.116079    0.006917    0.000976   -0.029547   -0.000465     0.6436    0.6935    0.2487    0.3619
    0.5178     0.2400    -0.589    0.103851    0.006912    0.001068   -0.026435   -0.000417     0.6462    0.6908    0.1264    0.1281
    0.5702     0.2400    -0.738    0.086942    0.006908    0.001119   -0.022132   -0.000350     0.6497    0.6870   -0.0768    0.0313
    0.6087     0.2388    -0.934    0.064491    0.006914    0.001052   -0.016653   -0.000260     0.6546    0.6822   -0.3679    0.0036
    0.6321     0.2238    -1.172    0.037330    0.007097    0.000764   -0.011391   -0.000144     0.6646    0.6806   -0.2291    0.0000




