xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   10.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.775847
Cy    =    0.000000
Cd    =    0.051279     ICd   =    0.037397     PCd   =    0.013882
Cl   = -3.82616e-17
Cm   =   -0.187393
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.055439     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   40.452067

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -8.275    0.252276    0.007204    0.036437   -0.076648   -0.000637     0.6135    0.7318    0.2469    0.0000
   -0.6087     0.2388    -6.640    0.433337    0.007253    0.050219   -0.110241   -0.000089     0.5289    0.7757    0.2438    0.0246
   -0.5702     0.2400    -5.057    0.576732    0.010076    0.050905   -0.139537    0.004955     0.1623    0.8339    0.2339    0.2108
   -0.5178     0.2400    -3.890    0.680434    0.012119    0.046198   -0.161396    0.009076     0.0493    0.8961    0.2281    0.8565
   -0.4525     0.2400    -3.097    0.754439    0.013377    0.040777   -0.177544    0.011469     0.0323    0.9509    0.2255    2.4024
   -0.3762     0.2400    -2.630    0.808828    0.014383    0.037121   -0.192416    0.010224     0.0274    0.9755    0.2276    5.3731
   -0.2906     0.2400    -2.324    0.847499    0.015129    0.034377   -0.203744    0.008584     0.0251    0.9867    0.2298   10.3007
   -0.1978     0.2400    -2.128    0.873092    0.015635    0.032425   -0.211420    0.007320     0.0239    0.9923    0.2313   17.6362
   -0.1001     0.2400    -2.017    0.887542    0.015921    0.031246   -0.215754    0.006606     0.0232    0.9955    0.2322   27.6672
   -0.0000     0.2400    -1.967    0.891971    0.016041    0.030622   -0.216771    0.006698     0.0230    0.9962    0.2321   40.4521
    0.1001     0.2400    -2.017    0.887542    0.015921    0.031246   -0.215754    0.006606     0.0232    0.9955    0.2322   27.6672
    0.1978     0.2400    -2.128    0.873092    0.015635    0.032425   -0.211420    0.007320     0.0239    0.9923    0.2313   17.6362
    0.2906     0.2400    -2.324    0.847499    0.015129    0.034377   -0.203744    0.008584     0.0251    0.9867    0.2298   10.3007
    0.3762     0.2400    -2.630    0.808828    0.014383    0.037121   -0.192416    0.010224     0.0274    0.9755    0.2276    5.3731
    0.4525     0.2400    -3.097    0.754439    0.013377    0.040777   -0.177544    0.011469     0.0323    0.9509    0.2255    2.4024
    0.5178     0.2400    -3.890    0.680434    0.012119    0.046198   -0.161396    0.009076     0.0493    0.8961    0.2281    0.8565
    0.5702     0.2400    -5.057    0.576732    0.010076    0.050905   -0.139537    0.004955     0.1623    0.8339    0.2339    0.2108
    0.6087     0.2388    -6.640    0.433337    0.007253    0.050219   -0.110241   -0.000089     0.5289    0.7757    0.2438    0.0246
    0.6321     0.2238    -8.275    0.252276    0.007204    0.036437   -0.076648   -0.000637     0.6135    0.7318    0.2469    0.0000




