xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   12.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.864579
Cy    =    0.000000
Cd    =    0.063121     ICd   =    0.046848     PCd   =    0.016273
Cl   = -3.32808e-17
Cm   =   -0.205118
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.054097     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   45.484668

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -9.469    0.286362    0.007224    0.047328   -0.086844   -0.000562     0.6014    0.7407    0.2462    0.0000
   -0.6087     0.2388    -7.600    0.491343    0.007464    0.065176   -0.124506    0.000391     0.4835    0.7936    0.2425    0.0279
   -0.5702     0.2400    -5.700    0.652459    0.011671    0.064904   -0.155500    0.007964     0.0627    0.8772    0.2295    0.2391
   -0.5178     0.2400    -4.439    0.771246    0.013683    0.059754   -0.181789    0.011434     0.0302    0.9606    0.2257    0.9703
   -0.4525     0.2400    -3.742    0.858264    0.015342    0.056047   -0.206972    0.008052     0.0246    0.9891    0.2304    2.7217
   -0.3762     0.2400    -3.134    0.914175    0.016815    0.050001   -0.220291    0.008741     0.0218    0.9989    0.2297    6.0927
   -0.2906     0.2400    -2.577    0.944629    0.017907    0.042494   -0.222996    0.013666     0.0202    1.0000    0.2240   11.6771
   -0.1978     0.2400    -2.252    0.961882    0.018679    0.037813   -0.224632    0.016353     0.0195    1.0000    0.2211   19.9531
   -0.1001     0.2400    -2.083    0.971008    0.019110    0.035294   -0.225591    0.017680     0.0191    1.0000    0.2196   31.2089
   -0.0000     0.2400    -2.030    0.973856    0.019244    0.034497   -0.225890    0.018095     0.0190    1.0000    0.2192   45.4847
    0.1001     0.2400    -2.083    0.971008    0.019110    0.035294   -0.225591    0.017680     0.0191    1.0000    0.2196   31.2089
    0.1978     0.2400    -2.252    0.961882    0.018679    0.037813   -0.224632    0.016353     0.0195    1.0000    0.2211   19.9531
    0.2906     0.2400    -2.577    0.944629    0.017907    0.042494   -0.222996    0.013666     0.0202    1.0000    0.2240   11.6771
    0.3762     0.2400    -3.134    0.914175    0.016815    0.050001   -0.220291    0.008741     0.0218    0.9989    0.2297    6.0927
    0.4525     0.2400    -3.742    0.858264    0.015342    0.056047   -0.206972    0.008052     0.0246    0.9891    0.2304    2.7217
    0.5178     0.2400    -4.439    0.771246    0.013683    0.059754   -0.181789    0.011434     0.0302    0.9606    0.2257    0.9703
    0.5702     0.2400    -5.700    0.652459    0.011671    0.064904   -0.155500    0.007964     0.0627    0.8772    0.2295    0.2391
    0.6087     0.2388    -7.600    0.491343    0.007464    0.065176   -0.124506    0.000391     0.4835    0.7936    0.2425    0.0279
    0.6321     0.2238    -9.469    0.286362    0.007224    0.047328   -0.086844   -0.000562     0.6014    0.7407    0.2462    0.0000




