xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   12.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.889054
Cy    =    0.000000
Cd    =    0.067114     ICd   =    0.049768     PCd   =    0.017346
Cl   = -4.21104e-17
Cm   =    -0.20902
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.053460     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   46.928303

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -9.871    0.297263    0.007232    0.051210   -0.090079   -0.000513     0.5963    0.7436    0.2460    0.0000
   -0.6087     0.2388    -7.905    0.509781    0.007741    0.070333   -0.128651    0.000933     0.4409    0.8005    0.2414    0.0290
   -0.5702     0.2400    -5.930    0.676916    0.012062    0.070054   -0.160672    0.008919     0.0504    0.8934    0.2283    0.2481
   -0.5178     0.2400    -4.694    0.801042    0.014238    0.065622   -0.190214    0.010474     0.0280    0.9724    0.2272    1.0068
   -0.4525     0.2400    -4.000    0.889796    0.015966    0.062113   -0.216426    0.006498     0.0231    0.9960    0.2323    2.8248
   -0.3762     0.2400    -3.164    0.940200    0.017747    0.051925   -0.222731    0.012822     0.0204    1.0000    0.2250    6.3224
   -0.2906     0.2400    -2.623    0.968859    0.019008    0.044347   -0.225365    0.017368     0.0192    1.0000    0.2200   12.1001
   -0.1978     0.2400    -2.286    0.984985    0.020152    0.039296   -0.226854    0.019919     0.0186    1.0000    0.2172   20.6427
   -0.1001     0.2400    -2.104    0.993072    0.020858    0.036471   -0.227529    0.021270     0.0184    1.0000    0.2157   32.2401
   -0.0000     0.2400    -2.048    0.995589    0.021078    0.035581   -0.227739    0.021690     0.0183    1.0000    0.2153   46.9283
    0.1001     0.2400    -2.104    0.993072    0.020858    0.036471   -0.227529    0.021270     0.0184    1.0000    0.2157   32.2401
    0.1978     0.2400    -2.286    0.984985    0.020152    0.039296   -0.226854    0.019919     0.0186    1.0000    0.2172   20.6427
    0.2906     0.2400    -2.623    0.968859    0.019008    0.044347   -0.225365    0.017368     0.0192    1.0000    0.2200   12.1001
    0.3762     0.2400    -3.164    0.940200    0.017747    0.051925   -0.222731    0.012822     0.0204    1.0000    0.2250    6.3224
    0.4525     0.2400    -4.000    0.889796    0.015966    0.062113   -0.216426    0.006498     0.0231    0.9960    0.2323    2.8248
    0.5178     0.2400    -4.694    0.801042    0.014238    0.065622   -0.190214    0.010474     0.0280    0.9724    0.2272    1.0068
    0.5702     0.2400    -5.930    0.676916    0.012062    0.070054   -0.160672    0.008919     0.0504    0.8934    0.2283    0.2481
    0.6087     0.2388    -7.905    0.509781    0.007741    0.070333   -0.128651    0.000933     0.4409    0.8005    0.2414    0.0290
    0.6321     0.2238    -9.871    0.297263    0.007232    0.051210   -0.090079   -0.000513     0.5963    0.7436    0.2460    0.0000




