xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   17.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.059115
Cy    =    0.000000
Cd    =    0.109134     ICd   =    0.073330     PCd   =    0.035804
Cl   = -3.03376e-17
Cm   =   -0.236906
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.049278     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   57.085859

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238   -13.562    0.386637    0.007323    0.091517   -0.116675   -0.000181     0.5582    0.7677    0.2443    0.0000
   -0.6087     0.2388   -10.629    0.658749    0.011785    0.122202   -0.159212    0.008239     0.0592    0.8818    0.2292    0.0377
   -0.5702     0.2400    -8.629    0.872968    0.015632    0.131470   -0.211383    0.007326     0.0239    0.9923    0.2313    0.3213
   -0.5178     0.2400    -6.345    1.006365    0.021828    0.111446   -0.229291    0.022838     0.0181    1.0000    0.2141    1.3010
   -0.4525     0.2400    -4.815    1.083928    0.028607    0.091081   -0.241944    0.029618     0.0166    1.0000    0.2070    3.6180
   -0.3762     0.2400    -3.769    1.124455    0.034874    0.073962   -0.248761    0.032953     0.0159    1.0000    0.2032    7.9987
   -0.2906     0.2400    -2.973    1.139634    0.041501    0.059142   -0.250122    0.035396     0.0154    1.0000    0.1999   15.1301
   -0.1978     0.2400    -2.501    1.143798    0.046052    0.049928   -0.250563    0.035998     0.0152    1.0000    0.1985   25.5419
   -0.1001     0.2400    -2.220    1.143228    0.049192    0.044298   -0.250504    0.035914     0.0151    1.0000    0.1980   39.5268
   -0.0000     0.2400    -2.151    1.143085    0.049967    0.042910   -0.250489    0.035893     0.0151    1.0000    0.1979   57.0859
    0.1001     0.2400    -2.220    1.143228    0.049192    0.044298   -0.250504    0.035914     0.0151    1.0000    0.1980   39.5268
    0.1978     0.2400    -2.501    1.143798    0.046052    0.049928   -0.250563    0.035998     0.0152    1.0000    0.1985   25.5419
    0.2906     0.2400    -2.973    1.139634    0.041501    0.059142   -0.250122    0.035396     0.0154    1.0000    0.1999   15.1301
    0.3762     0.2400    -3.769    1.124455    0.034874    0.073962   -0.248761    0.032953     0.0159    1.0000    0.2032    7.9987
    0.4525     0.2400    -4.815    1.083928    0.028607    0.091081   -0.241944    0.029618     0.0166    1.0000    0.2070    3.6180
    0.5178     0.2400    -6.345    1.006365    0.021828    0.111446   -0.229291    0.022838     0.0181    1.0000    0.2141    1.3010
    0.5702     0.2400    -8.629    0.872968    0.015632    0.131470   -0.211383    0.007326     0.0239    0.9923    0.2313    0.3213
    0.6087     0.2388   -10.629    0.658749    0.011785    0.122202   -0.159212    0.008239     0.0592    0.8818    0.2292    0.0377
    0.6321     0.2238   -13.562    0.386637    0.007323    0.091517   -0.116675   -0.000181     0.5582    0.7677    0.2443    0.0000




