xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   17.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    1.064896
Cy    =    0.000000
Cd    =    0.114908     ICd   =    0.074923     PCd   =    0.039985
Cl   =   -5.66e-17
Cm   =   -0.238104
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.049046     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   57.719627

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238   -13.981    0.395625    0.007336    0.096535   -0.119350   -0.000148     0.5545    0.7702    0.2442    0.0000
   -0.6087     0.2388   -10.964    0.673677    0.012025    0.128912   -0.162423    0.008822     0.0515    0.8916    0.2284    0.0385
   -0.5702     0.2400    -8.967    0.891971    0.016041    0.139596   -0.216771    0.006698     0.0230    0.9962    0.2321    0.3286
   -0.5178     0.2400    -6.524    1.024300    0.022999    0.116626   -0.232140    0.024483     0.0178    1.0000    0.2124    1.3300
   -0.4525     0.2400    -4.960    1.099439    0.030527    0.095174   -0.244585    0.030862     0.0163    1.0000    0.2056    3.6937
   -0.3762     0.2400    -3.834    1.134863    0.038235    0.075947   -0.250052    0.034270     0.0156    1.0000    0.2015    8.1527
   -0.2906     0.2400    -2.969    1.143744    0.046404    0.059277   -0.250558    0.035990     0.0152    1.0000    0.1985   15.3927
   -0.1978     0.2400    -2.455    1.142069    0.052267    0.048931   -0.250384    0.035744     0.0150    1.0000    0.1975   25.9316
   -0.1001     0.2400    -2.121    1.136879    0.056792    0.042094   -0.249849    0.034978     0.0149    1.0000    0.1973   40.0459
   -0.0000     0.2400    -2.073    1.136118    0.057456    0.041096   -0.249771    0.034866     0.0149    1.0000    0.1973   57.7196
    0.1001     0.2400    -2.121    1.136879    0.056792    0.042094   -0.249849    0.034978     0.0149    1.0000    0.1973   40.0459
    0.1978     0.2400    -2.455    1.142069    0.052267    0.048931   -0.250384    0.035744     0.0150    1.0000    0.1975   25.9316
    0.2906     0.2400    -2.969    1.143744    0.046404    0.059277   -0.250558    0.035990     0.0152    1.0000    0.1985   15.3927
    0.3762     0.2400    -3.834    1.134863    0.038235    0.075947   -0.250052    0.034270     0.0156    1.0000    0.2015    8.1527
    0.4525     0.2400    -4.960    1.099439    0.030527    0.095174   -0.244585    0.030862     0.0163    1.0000    0.2056    3.6937
    0.5178     0.2400    -6.524    1.024300    0.022999    0.116626   -0.232140    0.024483     0.0178    1.0000    0.2124    1.3300
    0.5702     0.2400    -8.967    0.891971    0.016041    0.139596   -0.216771    0.006698     0.0230    0.9962    0.2321    0.3286
    0.6087     0.2388   -10.964    0.673677    0.012025    0.128912   -0.162423    0.008822     0.0515    0.8916    0.2284    0.0385
    0.6321     0.2238   -13.981    0.395625    0.007336    0.096535   -0.119350   -0.000148     0.5545    0.7702    0.2442    0.0000




