xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =   18.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.783795
Cy    =    0.000000
Cd    =    0.122866     ICd   =    0.105037     PCd   =    0.017829
Cl   = 1.97874e-16
Cm   =   -0.181289
ICn   =    0.000000     PCn   =   -0.000000 
XCP   =    0.052175     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   51.674364

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238   -14.508    0.392578    0.007330    0.099408   -0.118447   -0.000163     0.5559    0.7694    0.2442    0.0000
   -0.6087     0.2388   -11.555    0.665457    0.011892    0.134204   -0.160665    0.008491     0.0553    0.8860    0.2288    0.0383
   -0.5702     0.2400    -9.562    0.881637    0.015804    0.147140   -0.213983    0.006898     0.0235    0.9942    0.2319    0.3250
   -0.5178     0.2400    -7.376    1.004612    0.021714    0.129336   -0.229013    0.022677     0.0181    1.0000    0.2142    1.3150
   -0.4525     0.2400    -5.953    1.077786    0.027866    0.111983   -0.240899    0.029124     0.0167    1.0000    0.2075    3.6429
   -0.3762     0.2400    -5.677    1.090007    0.029340    0.108008   -0.242978    0.030106     0.0165    1.0000    0.2065    8.0268
   -0.2906     0.2400    -5.881    1.080982    0.028251    0.110954   -0.241443    0.029381     0.0167    1.0000    0.2072   15.0939
   -0.1978     0.2400    -9.703    0.863313    0.015442    0.146199   -0.208487    0.007803     0.0244    0.9902    0.2307   25.2977
   -0.1001     0.2400    19.384    0.000000    0.000000    0.000000    0.000000    0.000000     0.0000    0.0000    0.2500   38.3217
   -0.0000     0.2400   -12.344    0.594828    0.010555    0.128155   -0.143261    0.005764     0.1242    0.8437    0.2326   51.6744
    0.1001     0.2400    19.384    0.000000    0.000000    0.000000    0.000000    0.000000     0.0000    0.0000    0.2500   38.3217
    0.1978     0.2400    -9.703    0.863313    0.015442    0.146199   -0.208487    0.007803     0.0244    0.9902    0.2307   25.2977
    0.2906     0.2400    -5.881    1.080982    0.028251    0.110954   -0.241443    0.029381     0.0167    1.0000    0.2072   15.0939
    0.3762     0.2400    -5.677    1.090007    0.029340    0.108008   -0.242978    0.030106     0.0165    1.0000    0.2065    8.0268
    0.4525     0.2400    -5.953    1.077786    0.027866    0.111983   -0.240899    0.029124     0.0167    1.0000    0.2075    3.6429
    0.5178     0.2400    -7.376    1.004612    0.021714    0.129336   -0.229013    0.022677     0.0181    1.0000    0.2142    1.3150
    0.5702     0.2400    -9.562    0.881637    0.015804    0.147140   -0.213983    0.006898     0.0235    0.9942    0.2319    0.3250
    0.6087     0.2388   -11.555    0.665457    0.011892    0.134204   -0.160665    0.008491     0.0553    0.8860    0.2288    0.0383
    0.6321     0.2238   -14.508    0.392578    0.007330    0.099408   -0.118447   -0.000163     0.5559    0.7694    0.2442    0.0000




