xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.158553
Cy    =    0.000000
Cd    =    0.008492     ICd   =    0.001534     PCd   =    0.006957
Cl   = -6.22601e-19
Cm   =  -0.0404554
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.056837     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =    8.244150

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -1.563    0.049731    0.007095    0.001357   -0.015176   -0.000192     0.6620    0.6834   -0.1819    0.0000
   -0.6087     0.2388    -1.247    0.085907    0.006919    0.001869   -0.022182   -0.000344     0.6502    0.6870   -0.1013    0.0048
   -0.5702     0.2400    -0.984    0.115796    0.006917    0.001990   -0.029475   -0.000464     0.6437    0.6934    0.2487    0.0417
   -0.5178     0.2400    -0.787    0.138285    0.006942    0.001899   -0.035187   -0.000542     0.6390    0.6986    0.2486    0.1707
   -0.4525     0.2400    -0.644    0.154535    0.006961    0.001737   -0.039315   -0.000598     0.6356    0.7023    0.2485    0.4820
   -0.3762     0.2400    -0.543    0.166011    0.006974    0.001573   -0.042230   -0.000638     0.6332    0.7049    0.2484    1.0843
   -0.2906     0.2400    -0.474    0.173863    0.006980    0.001438   -0.044218   -0.000659     0.6314    0.7068    0.2484    2.0873
   -0.1978     0.2400    -0.429    0.178927    0.006980    0.001340   -0.045494   -0.000667     0.6300    0.7081    0.2483    3.5836
   -0.1001     0.2400    -0.404    0.181757    0.006980    0.001282   -0.046207   -0.000671     0.6292    0.7088    0.2483    5.6320
   -0.0000     0.2400    -0.396    0.182668    0.006980    0.001262   -0.046436   -0.000672     0.6289    0.7090    0.2483    8.2441
    0.1001     0.2400    -0.404    0.181757    0.006980    0.001282   -0.046207   -0.000671     0.6292    0.7088    0.2483    5.6320
    0.1978     0.2400    -0.429    0.178927    0.006980    0.001340   -0.045494   -0.000667     0.6300    0.7081    0.2483    3.5836
    0.2906     0.2400    -0.474    0.173863    0.006980    0.001438   -0.044218   -0.000659     0.6314    0.7068    0.2484    2.0873
    0.3762     0.2400    -0.543    0.166011    0.006974    0.001573   -0.042230   -0.000638     0.6332    0.7049    0.2484    1.0843
    0.4525     0.2400    -0.644    0.154535    0.006961    0.001737   -0.039315   -0.000598     0.6356    0.7023    0.2485    0.4820
    0.5178     0.2400    -0.787    0.138285    0.006942    0.001899   -0.035187   -0.000542     0.6390    0.6986    0.2486    0.1707
    0.5702     0.2400    -0.984    0.115796    0.006917    0.001990   -0.029475   -0.000464     0.6437    0.6934    0.2487    0.0417
    0.6087     0.2388    -1.247    0.085907    0.006919    0.001869   -0.022182   -0.000344     0.6502    0.6870   -0.1013    0.0048
    0.6321     0.2238    -1.563    0.049731    0.007095    0.001357   -0.015176   -0.000192     0.6620    0.6834   -0.1819    0.0000




