xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    4.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.314569
Cy    =    0.000000
Cd    =    0.013143     ICd   =    0.006088     PCd   =    0.007055
Cl   = -1.23388e-17
Cm   =  -0.0795884
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.058922     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   16.371151

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -3.130    0.099128    0.007126    0.005415   -0.030246   -0.000379     0.6516    0.6944    0.1438    0.0000
   -0.6087     0.2388    -2.498    0.171162    0.006991    0.007461   -0.044161   -0.000653     0.6324    0.7064    0.2484    0.0097
   -0.5702     0.2400    -1.973    0.230521    0.006983    0.007936   -0.058485   -0.000731     0.6156    0.7210    0.2476    0.0831
   -0.5178     0.2400    -1.574    0.274978    0.007002    0.007556   -0.069553   -0.000662     0.6000    0.7326    0.2467    0.3399
   -0.4525     0.2400    -1.287    0.306937    0.007038    0.006893   -0.077481   -0.000583     0.5862    0.7409    0.2461    0.9594
   -0.3762     0.2400    -1.084    0.329408    0.007068    0.006233   -0.083048   -0.000520     0.5758    0.7467    0.2457    2.1571
   -0.2906     0.2400    -0.946    0.344738    0.007088    0.005692   -0.086845   -0.000477     0.5691    0.7507    0.2454    4.1502
   -0.1978     0.2400    -0.857    0.354611    0.007100    0.005303   -0.089290   -0.000448     0.5651    0.7535    0.2453    7.1218
   -0.1001     0.2400    -0.807    0.360125    0.007107    0.005073   -0.090656   -0.000432     0.5629    0.7550    0.2452   11.1878
   -0.0000     0.2400    -0.791    0.361898    0.007109    0.004997   -0.091095   -0.000426     0.5622    0.7555    0.2451   16.3712
    0.1001     0.2400    -0.807    0.360125    0.007107    0.005073   -0.090656   -0.000432     0.5629    0.7550    0.2452   11.1878
    0.1978     0.2400    -0.857    0.354611    0.007100    0.005303   -0.089290   -0.000448     0.5651    0.7535    0.2453    7.1218
    0.2906     0.2400    -0.946    0.344738    0.007088    0.005692   -0.086845   -0.000477     0.5691    0.7507    0.2454    4.1502
    0.3762     0.2400    -1.084    0.329408    0.007068    0.006233   -0.083048   -0.000520     0.5758    0.7467    0.2457    2.1571
    0.4525     0.2400    -1.287    0.306937    0.007038    0.006893   -0.077481   -0.000583     0.5862    0.7409    0.2461    0.9594
    0.5178     0.2400    -1.574    0.274978    0.007002    0.007556   -0.069553   -0.000662     0.6000    0.7326    0.2467    0.3399
    0.5702     0.2400    -1.973    0.230521    0.006983    0.007936   -0.058485   -0.000731     0.6156    0.7210    0.2476    0.0831
    0.6087     0.2388    -2.498    0.171162    0.006991    0.007461   -0.044161   -0.000653     0.6324    0.7064    0.2484    0.0097
    0.6321     0.2238    -3.130    0.099128    0.007126    0.005415   -0.030246   -0.000379     0.6516    0.6944    0.1438    0.0000




