xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    5.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.391673
Cy    =    0.000000
Cd    =    0.016633     ICd   =    0.009456     PCd   =    0.007177
Cl   = -1.57348e-17
Cm   =  -0.0986841
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.058754     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   20.391867

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -3.914    0.123686    0.007141    0.008450   -0.037735   -0.000468     0.6465    0.7000    0.2484    0.0000
   -0.6087     0.2388    -3.123    0.213500    0.006992    0.011639   -0.054986   -0.000715     0.6208    0.7170    0.2478    0.0121
   -0.5702     0.2400    -2.463    0.287388    0.007011    0.012354   -0.072638   -0.000637     0.5952    0.7358    0.2465    0.1037
   -0.5178     0.2400    -1.965    0.342672    0.007086    0.011750   -0.086334   -0.000483     0.5699    0.7502    0.2454    0.4239
   -0.4525     0.2400    -1.606    0.382381    0.007133    0.010719   -0.096166   -0.000367     0.5540    0.7611    0.2448    1.1962
   -0.3762     0.2400    -1.353    0.410222    0.007187    0.009684   -0.103013   -0.000238     0.5408    0.7689    0.2443    2.6888
   -0.2906     0.2400    -1.179    0.429152    0.007234    0.008830   -0.107645   -0.000128     0.5307    0.7742    0.2440    5.1721
   -0.1978     0.2400    -1.067    0.441322    0.007264    0.008220   -0.110623   -0.000056     0.5243    0.7776    0.2437    8.8738
   -0.1001     0.2400    -1.005    0.448113    0.007280    0.007859   -0.112284   -0.000017     0.5206    0.7795    0.2436   13.9376
   -0.0000     0.2400    -0.985    0.450292    0.007288    0.007738   -0.112812    0.000002     0.5189    0.7802    0.2435   20.3919
    0.1001     0.2400    -1.005    0.448113    0.007280    0.007859   -0.112284   -0.000017     0.5206    0.7795    0.2436   13.9376
    0.1978     0.2400    -1.067    0.441322    0.007264    0.008220   -0.110623   -0.000056     0.5243    0.7776    0.2437    8.8738
    0.2906     0.2400    -1.179    0.429152    0.007234    0.008830   -0.107645   -0.000128     0.5307    0.7742    0.2440    5.1721
    0.3762     0.2400    -1.353    0.410222    0.007187    0.009684   -0.103013   -0.000238     0.5408    0.7689    0.2443    2.6888
    0.4525     0.2400    -1.606    0.382381    0.007133    0.010719   -0.096166   -0.000367     0.5540    0.7611    0.2448    1.1962
    0.5178     0.2400    -1.965    0.342672    0.007086    0.011750   -0.086334   -0.000483     0.5699    0.7502    0.2454    0.4239
    0.5702     0.2400    -2.463    0.287388    0.007011    0.012354   -0.072638   -0.000637     0.5952    0.7358    0.2465    0.1037
    0.6087     0.2388    -3.123    0.213500    0.006992    0.011639   -0.054986   -0.000715     0.6208    0.7170    0.2478    0.0121
    0.6321     0.2238    -3.914    0.123686    0.007141    0.008450   -0.037735   -0.000468     0.6465    0.7000    0.2484    0.0000




