xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    6.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.464839
Cy    =    0.000000
Cd    =    0.021063     ICd   =    0.013373     PCd   =    0.007691
Cl   = -1.66404e-17
Cm   =    -0.11603
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.058091     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   24.267951

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -4.701    0.147914    0.007153    0.012136   -0.045117   -0.000550     0.6417    0.7057    0.2483    0.0000
   -0.6087     0.2388    -3.751    0.255208    0.007003    0.016709   -0.065563   -0.000690     0.6073    0.7278    0.2471    0.0144
   -0.5702     0.2400    -2.959    0.343322    0.007087    0.017729   -0.086495   -0.000481     0.5696    0.7503    0.2454    0.1240
   -0.5178     0.2400    -2.363    0.409061    0.007184    0.016872   -0.102729   -0.000245     0.5414    0.7686    0.2444    0.5066
   -0.4525     0.2400    -1.932    0.455927    0.007312    0.015373   -0.114172    0.000054     0.5139    0.7820    0.2434    1.4290
   -0.3762     0.2400    -1.629    0.488344    0.007444    0.013880   -0.121994    0.000353     0.4853    0.7923    0.2426    3.2105
   -0.2906     0.2400    -1.408    0.509513    0.007728    0.012524   -0.126741    0.000910     0.4410    0.8001    0.2414    6.1720
   -0.1978     0.2400    -1.252    0.522149    0.008114    0.011414   -0.129175    0.001642     0.3863    0.8059    0.2400   10.5811
   -0.1001     0.2400    -1.169    0.528953    0.008322    0.010788   -0.130485    0.002036     0.3568    0.8091    0.2392   16.6033
   -0.0000     0.2400    -1.142    0.531113    0.008388    0.010585   -0.130901    0.002161     0.3474    0.8101    0.2389   24.2680
    0.1001     0.2400    -1.169    0.528953    0.008322    0.010788   -0.130485    0.002036     0.3568    0.8091    0.2392   16.6033
    0.1978     0.2400    -1.252    0.522149    0.008114    0.011414   -0.129175    0.001642     0.3863    0.8059    0.2400   10.5811
    0.2906     0.2400    -1.408    0.509513    0.007728    0.012524   -0.126741    0.000910     0.4410    0.8001    0.2414    6.1720
    0.3762     0.2400    -1.629    0.488344    0.007444    0.013880   -0.121994    0.000353     0.4853    0.7923    0.2426    3.2105
    0.4525     0.2400    -1.932    0.455927    0.007312    0.015373   -0.114172    0.000054     0.5139    0.7820    0.2434    1.4290
    0.5178     0.2400    -2.363    0.409061    0.007184    0.016872   -0.102729   -0.000245     0.5414    0.7686    0.2444    0.5066
    0.5702     0.2400    -2.959    0.343322    0.007087    0.017729   -0.086495   -0.000481     0.5696    0.7503    0.2454    0.1240
    0.6087     0.2388    -3.751    0.255208    0.007003    0.016709   -0.065563   -0.000690     0.6073    0.7278    0.2471    0.0144
    0.6321     0.2238    -4.701    0.147914    0.007153    0.012136   -0.045117   -0.000550     0.6417    0.7057    0.2483    0.0000




