xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    7.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.561185
Cy    =    0.000000
Cd    =    0.029593     ICd   =    0.019640     PCd   =    0.009953
Cl   = -1.10936e-17
Cm   =   -0.136299
ICn   =   -0.000000     PCn   =   -0.000000 
XCP   =    0.056256     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   29.437842

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -5.894    0.182807    0.007169    0.018804   -0.055720   -0.000640     0.6339    0.7140    0.2481    0.0000
   -0.6087     0.2388    -4.714    0.315030    0.007058    0.025917   -0.080635   -0.000556     0.5828    0.7433    0.2459    0.0178
   -0.5702     0.2400    -3.736    0.422933    0.007218    0.027577   -0.106123   -0.000164     0.5340    0.7725    0.2441    0.1531
   -0.5178     0.2400    -3.003    0.501718    0.007499    0.026299   -0.125222    0.000476     0.4736    0.7965    0.2423    0.6249
   -0.4525     0.2400    -2.356    0.553745    0.009176    0.022766   -0.135211    0.003521     0.2535    0.8214    0.2364    1.7593
   -0.3762     0.2400    -1.919    0.588244    0.010408    0.019703   -0.141869    0.005507     0.1341    0.8402    0.2330    3.9396
   -0.2906     0.2400    -1.653    0.611606    0.010932    0.017650   -0.146809    0.006419     0.0988    0.8528    0.2316    7.5454
   -0.1978     0.2400    -1.485    0.626474    0.011256    0.016237   -0.149956    0.006997     0.0776    0.8610    0.2308   12.8931
   -0.1001     0.2400    -1.394    0.634769    0.011389    0.015442   -0.151726    0.007306     0.0729    0.8662    0.2304   20.1792
   -0.0000     0.2400    -1.365    0.637431    0.011431    0.015182   -0.152294    0.007405     0.0713    0.8678    0.2303   29.4378
    0.1001     0.2400    -1.394    0.634769    0.011389    0.015442   -0.151726    0.007306     0.0729    0.8662    0.2304   20.1792
    0.1978     0.2400    -1.485    0.626474    0.011256    0.016237   -0.149956    0.006997     0.0776    0.8610    0.2308   12.8931
    0.2906     0.2400    -1.653    0.611606    0.010932    0.017650   -0.146809    0.006419     0.0988    0.8528    0.2316    7.5454
    0.3762     0.2400    -1.919    0.588244    0.010408    0.019703   -0.141869    0.005507     0.1341    0.8402    0.2330    3.9396
    0.4525     0.2400    -2.356    0.553745    0.009176    0.022766   -0.135211    0.003521     0.2535    0.8214    0.2364    1.7593
    0.5178     0.2400    -3.003    0.501718    0.007499    0.026299   -0.125222    0.000476     0.4736    0.7965    0.2423    0.6249
    0.5702     0.2400    -3.736    0.422933    0.007218    0.027577   -0.106123   -0.000164     0.5340    0.7725    0.2441    0.1531
    0.6087     0.2388    -4.714    0.315030    0.007058    0.025917   -0.080635   -0.000556     0.5828    0.7433    0.2459    0.0178
    0.6321     0.2238    -5.894    0.182807    0.007169    0.018804   -0.055720   -0.000640     0.6339    0.7140    0.2481    0.0000




