xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    9.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.661036
Cy    =    0.000000
Cd    =    0.039012     ICd   =    0.027275     PCd   =    0.011737
Cl   = -4.7544e-18
Cm   =   -0.157703
ICn   =   -0.000000     PCn   =    0.000000 
XCP   =    0.054984     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   34.658829

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -7.088    0.217235    0.007186    0.026876   -0.066129   -0.000675     0.6247    0.7227    0.2476    0.0000
   -0.6087     0.2388    -5.683    0.373890    0.007133    0.037082   -0.095425   -0.000384     0.5578    0.7591    0.2449    0.0212
   -0.5702     0.2400    -4.518    0.500117    0.007493    0.039439   -0.124835    0.000461     0.4750    0.7960    0.2423    0.1818
   -0.5178     0.2400    -3.420    0.588195    0.010407    0.035107   -0.141858    0.005505     0.1342    0.8401    0.2330    0.7405
   -0.4525     0.2400    -2.730    0.649661    0.011626    0.030958   -0.154903    0.007860     0.0643    0.8755    0.2297    2.0775
   -0.3762     0.2400    -2.261    0.691926    0.012303    0.027308   -0.163764    0.009587     0.0458    0.9048    0.2275    4.6425
   -0.2906     0.2400    -1.948    0.720244    0.012767    0.024493   -0.169714    0.010732     0.0378    0.9262    0.2261    8.8843
   -0.1978     0.2400    -1.760    0.738614    0.013095    0.022683   -0.173920    0.011128     0.0349    0.9394    0.2258   15.1771
   -0.1001     0.2400    -1.654    0.748862    0.013278    0.021620   -0.176267    0.011349     0.0332    0.9468    0.2256   23.7547
   -0.0000     0.2400    -1.620    0.752155    0.013336    0.021271   -0.177021    0.011420     0.0327    0.9492    0.2255   34.6588
    0.1001     0.2400    -1.654    0.748862    0.013278    0.021620   -0.176267    0.011349     0.0332    0.9468    0.2256   23.7547
    0.1978     0.2400    -1.760    0.738614    0.013095    0.022683   -0.173920    0.011128     0.0349    0.9394    0.2258   15.1771
    0.2906     0.2400    -1.948    0.720244    0.012767    0.024493   -0.169714    0.010732     0.0378    0.9262    0.2261    8.8843
    0.3762     0.2400    -2.261    0.691926    0.012303    0.027308   -0.163764    0.009587     0.0458    0.9048    0.2275    4.6425
    0.4525     0.2400    -2.730    0.649661    0.011626    0.030958   -0.154903    0.007860     0.0643    0.8755    0.2297    2.0775
    0.5178     0.2400    -3.420    0.588195    0.010407    0.035107   -0.141858    0.005505     0.1342    0.8401    0.2330    0.7405
    0.5702     0.2400    -4.518    0.500117    0.007493    0.039439   -0.124835    0.000461     0.4750    0.7960    0.2423    0.1818
    0.6087     0.2388    -5.683    0.373890    0.007133    0.037082   -0.095425   -0.000384     0.5578    0.7591    0.2449    0.0212
    0.6321     0.2238    -7.088    0.217235    0.007186    0.026876   -0.066129   -0.000675     0.6247    0.7227    0.2476    0.0000




