xflr5 v6.50

Plane Name
T1-44.0 m/s-LLT
QInf  =   44.000000 m/s
Alpha =    9.500000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.696969
Cy    =    0.000000
Cd    =    0.042671     ICd   =    0.030286     PCd   =    0.012385
Cl   = -1.33576e-17
Cm   =   -0.166239
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.054882     YCP   =    0.000000     ZCP   =    0.000000  
XNP   =    0.000000
Bending =   36.489220

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.6321     0.2238    -7.486    0.228765    0.007192    0.029890   -0.069610   -0.000683     0.6215    0.7256    0.2474    0.0000
   -0.6087     0.2388    -6.006    0.393461    0.007156    0.041244   -0.100341   -0.000325     0.5499    0.7645    0.2446    0.0223
   -0.5702     0.2400    -4.713    0.525332    0.008212    0.043214   -0.129788    0.001826     0.3725    0.8074    0.2396    0.1913
   -0.5178     0.2400    -3.580    0.618108    0.011077    0.038616   -0.148184    0.006673     0.0890    0.8563    0.2313    0.7787
   -0.4525     0.2400    -2.859    0.683165    0.012163    0.034095   -0.161959    0.009197     0.0485    0.8982    0.2280    2.1839
   -0.3762     0.2400    -2.367    0.728203    0.012909    0.030079   -0.171537    0.010903     0.0365    0.9319    0.2260    4.8804
   -0.2906     0.2400    -2.048    0.759170    0.013462    0.027138   -0.178627    0.011571     0.0316    0.9543    0.2254    9.3413
   -0.1978     0.2400    -1.867    0.779982    0.013845    0.025418   -0.184260    0.011153     0.0296    0.9641    0.2261   15.9631
   -0.1001     0.2400    -1.768    0.791967    0.014069    0.024444   -0.187648    0.010767     0.0286    0.9688    0.2267   24.9964
   -0.0000     0.2400    -1.736    0.795866    0.014141    0.024118   -0.188751    0.010641     0.0283    0.9703    0.2269   36.4892
    0.1001     0.2400    -1.768    0.791967    0.014069    0.024444   -0.187648    0.010767     0.0286    0.9688    0.2267   24.9964
    0.1978     0.2400    -1.867    0.779982    0.013845    0.025418   -0.184260    0.011153     0.0296    0.9641    0.2261   15.9631
    0.2906     0.2400    -2.048    0.759170    0.013462    0.027138   -0.178627    0.011571     0.0316    0.9543    0.2254    9.3413
    0.3762     0.2400    -2.367    0.728203    0.012909    0.030079   -0.171537    0.010903     0.0365    0.9319    0.2260    4.8804
    0.4525     0.2400    -2.859    0.683165    0.012163    0.034095   -0.161959    0.009197     0.0485    0.8982    0.2280    2.1839
    0.5178     0.2400    -3.580    0.618108    0.011077    0.038616   -0.148184    0.006673     0.0890    0.8563    0.2313    0.7787
    0.5702     0.2400    -4.713    0.525332    0.008212    0.043214   -0.129788    0.001826     0.3725    0.8074    0.2396    0.1913
    0.6087     0.2388    -6.006    0.393461    0.007156    0.041244   -0.100341   -0.000325     0.5499    0.7645    0.2446    0.0223
    0.6321     0.2238    -7.486    0.228765    0.007192    0.029890   -0.069610   -0.000683     0.6215    0.7256    0.2474    0.0000




