xflr5 v6.50

Plane name :        Plane Name
Polar name :        T1-44.0 m/s-LLT
Freestream speed :  44.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.158173   0.001531   0.006946   0.008477   0.000000   0.000000   0.040125   0.000000   0.000000   44.0000     0.0592
   -1.500     0.000  -0.117653   0.000876   0.006917   0.007793   0.000000   0.000000   0.029881   0.000000   0.000000   44.0000     0.0588
   -1.000     0.000  -0.078257   0.000391   0.006909   0.007300   0.000000   0.000000   0.019878   0.000000   0.000000   44.0000     0.0564
   -0.500     0.000  -0.038796   0.000099   0.006900   0.006999   0.000000   0.000000   0.009847   0.000000   0.000000   44.0000    -0.0266
    0.000     0.000   0.000603  -0.000000   0.006876   0.006876   0.000000  -0.000000  -0.000160   0.000000   0.000000   44.0000    -0.2346
    0.500     0.000   0.040024   0.000094   0.006884   0.006978   0.000000  -0.000000  -0.010170   0.000000   0.000000   44.0000    -0.1288
    1.000     0.000   0.079452   0.000381   0.006892   0.007273   0.000000  -0.000000  -0.020183   0.000000   0.000000   44.0000    -0.0221
    1.500     0.000   0.118859   0.000860   0.006913   0.007773   0.000000  -0.000000  -0.030185   0.000000   0.000000   44.0000     0.0489
    2.000     0.000   0.158204   0.001532   0.006949   0.008481   0.000000  -0.000000  -0.040152   0.000000   0.000000   44.0000     0.0564
    2.500     0.000   0.197432   0.002392   0.006959   0.009351   0.000000  -0.000000  -0.050033   0.000000   0.000000   44.0000     0.0580
    3.000     0.000   0.236393   0.003437   0.006973   0.010410   0.000000  -0.000000  -0.059765   0.000000   0.000000   44.0000     0.0585
    3.500     0.000   0.275184   0.004666   0.007003   0.011668   0.000000  -0.000000  -0.069402   0.000000   0.000000   44.0000     0.0585
    4.000     0.000   0.313879   0.006077   0.007046   0.013124   0.000000  -0.000000  -0.078989   0.000000   0.000000   44.0000     0.0586
    4.500     0.000   0.352484   0.007671   0.007094   0.014765   0.000000  -0.000000  -0.088530   0.000000   0.000000   44.0000     0.0586
    5.000     0.000   0.390812   0.009439   0.007168   0.016607   0.000000  -0.000000  -0.097939   0.000000   0.000000   44.0000     0.0586
    5.500     0.000   0.428797   0.011369   0.007281   0.018651   0.000000   0.000000  -0.107179   0.000000  -0.000000   44.0000     0.0584
    6.000     0.000   0.463818   0.013349   0.007680   0.021029   0.000000  -0.000000  -0.115150   0.000000   0.000000   44.0000     0.0580
    6.500     0.000   0.496022   0.015320   0.008403   0.023723   0.000000  -0.000000  -0.121905   0.000000   0.000000   44.0000     0.0573
    7.000     0.000   0.527425   0.017371   0.009237   0.026608   0.000000  -0.000000  -0.128354   0.000000   0.000000   44.0000     0.0567
    7.500     0.000   0.559955   0.019605   0.009939   0.029544   0.000000  -0.000000  -0.135251  -0.000000  -0.000000   44.0000     0.0561
    8.000     0.000   0.592822   0.021976   0.010572   0.032548   0.000000  -0.000000  -0.142199   0.000000   0.000000   44.0000     0.0557
    8.500     0.000   0.625811   0.024503   0.011138   0.035640   0.000000  -0.000000  -0.149135   0.000000   0.000000   44.0000     0.0552
    9.000     0.000   0.659590   0.027227   0.011718   0.038945   0.000000  -0.000000  -0.156482   0.000000   0.000000   44.0000     0.0549
    9.500     0.000   0.695446   0.030233   0.012364   0.042597   0.000000  -0.000000  -0.164953   0.000000   0.000000   44.0000     0.0548
   10.000     0.000   0.733184   0.033542   0.013077   0.046618   0.000000  -0.000000  -0.174532   0.000000   0.000000   44.0000     0.0549
   10.500     0.000   0.769471   0.036914   0.013873   0.050787   0.000000  -0.000000  -0.183592   0.000000   0.000000   44.0000     0.0549
   11.000     0.000   0.805151   0.040443   0.014667   0.055110   0.000000  -0.000000  -0.192473   0.000000  -0.000000   44.0000     0.0550
   11.500     0.000   0.835191   0.043655   0.015424   0.059079   0.000000  -0.000000  -0.198543   0.000000   0.000000   44.0000     0.0545
   12.000     0.000   0.861765   0.046656   0.016248   0.062904   0.000000  -0.000000  -0.203047   0.000000  -0.000000   44.0000     0.0539
   12.500     0.000   0.886099   0.049545   0.017315   0.066860   0.000000  -0.000000  -0.206851  -0.000000  -0.000000   44.0000     0.0533
   13.000     0.000   0.910155   0.052452   0.018529   0.070982   0.000000  -0.000000  -0.210748   0.000000   0.000000   44.0000     0.0527
   13.500     0.000   0.933418   0.055318   0.019844   0.075161   0.000000  -0.000000  -0.214464   0.000000   0.000000   44.0000     0.0521
   14.000     0.000   0.955977   0.058174   0.021325   0.079499   0.000000  -0.000000  -0.218163   0.000000  -0.000000   44.0000     0.0516
   14.500     0.000   0.977897   0.061068   0.022976   0.084044   0.000000  -0.000000  -0.221953  -0.000000   0.000000   44.0000     0.0511
   15.000     0.000   0.998727   0.063903   0.024825   0.088728   0.000000  -0.000000  -0.225638   0.000000   0.000000   44.0000     0.0507
   15.500     0.000   1.017733   0.066587   0.026854   0.093440   0.000000  -0.000000  -0.228825  -0.000000  -0.000000   44.0000     0.0503
   16.000     0.000   1.034167   0.069084   0.029284   0.098368   0.000000  -0.000000  -0.231494   0.000000  -0.000000   44.0000     0.0499
   16.500     0.000   1.046911   0.071246   0.032250   0.103496   0.000000  -0.000000  -0.233313   0.000000   0.000000   44.0000     0.0495
   17.000     0.000   1.056576   0.073133   0.035714   0.108846   0.000000  -0.000000  -0.234784  -0.000000  -0.000000   44.0000     0.0491
   17.500     0.000   1.062312   0.074704   0.039874   0.114578   0.000000  -0.000000  -0.235914   0.000000   0.000000   44.0000     0.0489


