xflr5 v6.50

Plane name :        Plane Name
Polar name :        T1-44.0 m/s-VLM1
Freestream speed :  44.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -2.000     0.000  -0.143551   0.001211   0.006950   0.008161   0.000000  -0.000000   0.034201  -0.000000  -0.000000   44.0000     0.0571
   -1.500     0.000  -0.107686   0.000681   0.006927   0.007608   0.000000  -0.000000   0.025659   0.000000   0.000000   44.0000     0.0571
   -1.000     0.000  -0.071800   0.000303   0.006923   0.007226   0.000000  -0.000000   0.017109   0.000000  -0.000000   44.0000     0.0571
   -0.500     0.000  -0.035902   0.000076   0.006912   0.006988   0.000000  -0.000000   0.008554   0.000000   0.000000   44.0000     0.0571
    0.000     0.000   0.000004   0.000000   0.006890   0.006890  -0.000000   0.000000  -0.000004   0.000000   0.000000   44.0000     0.2506
    0.500     0.000   0.035909   0.000076   0.006897   0.006973   0.000000   0.000000  -0.008562  -0.000000  -0.000000   44.0000     0.0571
    1.000     0.000   0.071808   0.000303   0.006905   0.007208   0.000000  -0.000000  -0.017117  -0.000000   0.000000   44.0000     0.0571
    1.500     0.000   0.107693   0.000682   0.006918   0.007599   0.000000  -0.000000  -0.025667   0.000000  -0.000000   44.0000     0.0571
    2.000     0.000   0.143559   0.001211   0.006953   0.008164   0.000000   0.000000  -0.034209  -0.000000   0.000000   44.0000     0.0571
    2.500     0.000   0.179397   0.001891   0.006968   0.008860   0.000000   0.000000  -0.042741  -0.000000  -0.000000   44.0000     0.0571
    3.000     0.000   0.215202   0.002721   0.006978   0.009700   0.000000   0.000000  -0.051260  -0.000000   0.000000   44.0000     0.0571
    3.500     0.000   0.250967   0.003701   0.006996   0.010697   0.000000   0.000000  -0.059763  -0.000000   0.000000   44.0000     0.0572
    4.000     0.000   0.286685   0.004830   0.007032   0.011861   0.000000   0.000000  -0.068249   0.000000   0.000000   44.0000     0.0572
    4.500     0.000   0.322350   0.006106   0.007071   0.013177   0.000000   0.000000  -0.076714  -0.000000   0.000000   44.0000     0.0572
    5.000     0.000   0.357955   0.007529   0.007122   0.014651   0.000000   0.000000  -0.085156  -0.000000  -0.000000   44.0000     0.0572
    5.500     0.000   0.393493   0.009098   0.007198   0.016296   0.000000   0.000000  -0.093574   0.000000   0.000000   44.0000     0.0572
    6.000     0.000   0.428959   0.010811   0.007315   0.018126   0.000000   0.000000  -0.101964  -0.000000  -0.000000   44.0000     0.0573
    6.500     0.000   0.464345   0.012668   0.007848   0.020516   0.000000   0.000000  -0.110335  -0.000000  -0.000000   44.0000     0.0573
    7.000     0.000   0.499645   0.014667   0.008707   0.023374   0.000000   0.000000  -0.118685  -0.000000  -0.000000   44.0000     0.0573
    7.500     0.000   0.534852   0.016806   0.009485   0.026290   0.000000   0.000000  -0.127000  -0.000000  -0.000000   44.0000     0.0573
    8.000     0.000   0.569961   0.019083   0.010134   0.029218   0.000000  -0.000000  -0.135275   0.000000  -0.000000   44.0000     0.0574
    8.500     0.000   0.604965   0.021498   0.010733   0.032231   0.000000  -0.000000  -0.143510   0.000000   0.000000   44.0000     0.0574
    9.000     0.000   0.639858   0.024048   0.011336   0.035383   0.000000   0.000000  -0.151705   0.000000  -0.000000   44.0000     0.0574
    9.500     0.000   0.674633   0.026731   0.011933   0.038664   0.000000   0.000000  -0.159855  -0.000000  -0.000000   44.0000     0.0575
   10.000     0.000   0.709284   0.029545   0.012557   0.042102   0.000000   0.000000  -0.167961  -0.000000  -0.000000   44.0000     0.0575
   10.500     0.000   0.743806   0.032488   0.013241   0.045729   0.000000   0.000000  -0.176021  -0.000000  -0.000000   44.0000     0.0576
   11.000     0.000   0.778192   0.035558   0.013977   0.049535   0.000000   0.000000  -0.184033   0.000000   0.000000   44.0000     0.0576
   11.500     0.000   0.812436   0.038752   0.014780   0.053532   0.000000  -0.000000  -0.191995   0.000000   0.000000   44.0000     0.0577
   12.000     0.000   0.846532   0.042068   0.015909   0.057977   0.000000   0.000000  -0.199920   0.000000   0.000000   44.0000     0.0577
   12.500     0.000   0.880475   0.045503   0.017441   0.062944   0.000000  -0.000000  -0.207810   0.000000   0.000000   44.0000     0.0578
   13.000     0.000   0.914259   0.049056   0.019246   0.068302   0.000000   0.000000  -0.215660   0.000000   0.000000   44.0000     0.0578
   13.500     0.000   0.947877   0.052722   0.021542   0.074264   0.000000   0.000000  -0.223480  -0.000000  -0.000000   44.0000     0.0579
   14.000     0.000   0.981325   0.056499   0.025331   0.081831   0.000000   0.000000  -0.231332  -0.000000   0.000000   44.0000     0.0579


