xflr5 v6.50

Plane name :        Plane Name
Polar name :        T1-44.0 m/s-LLT
Freestream speed :  44.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.236873   0.003442   0.006999   0.010441   0.000000   0.000000   0.060181   0.000000  -0.000000   44.0000     0.0594
   -2.500     0.000  -0.196590   0.002421   0.006988   0.009408   0.000000   0.000000   0.050069   0.000000   0.000000   44.0000     0.0596
   -2.000     0.000  -0.157310   0.001553   0.006953   0.008506   0.000000   0.000000   0.040121   0.000000   0.000000   44.0000     0.0596
   -1.500     0.000  -0.117944   0.000877   0.006925   0.007802   0.000000   0.000000   0.030115   0.000000   0.000000   44.0000     0.0594
   -1.000     0.000  -0.078431   0.000391   0.006917   0.007309   0.000000   0.000000   0.020029   0.000000   0.000000   44.0000     0.0570
   -0.500     0.000  -0.038882   0.000099   0.006908   0.007007   0.000000   0.000000   0.009922   0.000000   0.000000   44.0000    -0.0346
    0.000     0.000   0.000605  -0.000000   0.006884   0.006884   0.000000  -0.000000  -0.000161   0.000000  -0.000000   44.0000    -0.2647
    0.500     0.000   0.040113   0.000094   0.006892   0.006986   0.000000  -0.000000  -0.010246   0.000000   0.000000   44.0000    -0.1474
    1.000     0.000   0.079627   0.000382   0.006901   0.007282   0.000000  -0.000000  -0.020335   0.000000   0.000000   44.0000    -0.0297
    1.500     0.000   0.119121   0.000862   0.006921   0.007783   0.000000  -0.000000  -0.030413   0.000000   0.000000   44.0000     0.0487
    2.000     0.000   0.158553   0.001534   0.006957   0.008492   0.000000  -0.000000  -0.040455   0.000000   0.000000   44.0000     0.0568
    2.500     0.000   0.197866   0.002397   0.006967   0.009364   0.000000  -0.000000  -0.050412   0.000000   0.000000   44.0000     0.0585
    3.000     0.000   0.236913   0.003444   0.006981   0.010425   0.000000  -0.000000  -0.060218   0.000000   0.000000   44.0000     0.0590
    3.500     0.000   0.275790   0.004674   0.007011   0.011685   0.000000  -0.000000  -0.069928   0.000000   0.000000   44.0000     0.0590
    4.000     0.000   0.314569   0.006088   0.007055   0.013143   0.000000  -0.000000  -0.079588   0.000000  -0.000000   44.0000     0.0589
    4.500     0.000   0.353260   0.007685   0.007103   0.014788   0.000000  -0.000000  -0.089202   0.000000   0.000000   44.0000     0.0589
    5.000     0.000   0.391673   0.009456   0.007177   0.016633   0.000000  -0.000000  -0.098684   0.000000   0.000000   44.0000     0.0588
    5.500     0.000   0.429741   0.011390   0.007291   0.018681   0.000000  -0.000000  -0.107995   0.000000   0.000000   44.0000     0.0585
    6.000     0.000   0.464839   0.013373   0.007691   0.021063   0.000000  -0.000000  -0.116030   0.000000   0.000000   44.0000     0.0581
    6.500     0.000   0.497112   0.015347   0.008415   0.023762   0.000000  -0.000000  -0.122841   0.000000   0.000000   44.0000     0.0574
    7.000     0.000   0.528585   0.017401   0.009250   0.026652   0.000000  -0.000000  -0.129345   0.000000   0.000000   44.0000     0.0568
    7.500     0.000   0.561185   0.019640   0.009953   0.029593   0.000000  -0.000000  -0.136299  -0.000000  -0.000000   44.0000     0.0563
    8.000     0.000   0.594125   0.022015   0.010588   0.032603   0.000000  -0.000000  -0.143305   0.000000   0.000000   44.0000     0.0558
    8.500     0.000   0.627186   0.024546   0.011155   0.035701   0.000000  -0.000000  -0.150298   0.000000   0.000000   44.0000     0.0553
    9.000     0.000   0.661036   0.027275   0.011737   0.039012   0.000000  -0.000000  -0.157703   0.000000  -0.000000   44.0000     0.0550
    9.500     0.000   0.696969   0.030286   0.012385   0.042671   0.000000  -0.000000  -0.166239   0.000000   0.000000   44.0000     0.0549
   10.000     0.000   0.735674   0.033650   0.013100   0.046750   0.000000  -0.000000  -0.176299   0.000000   0.000000   44.0000     0.0551
   10.500     0.000   0.775847   0.037397   0.013882   0.051279   0.000000  -0.000000  -0.187393   0.000000   0.000000   44.0000     0.0554
   11.000     0.000   0.810009   0.040800   0.014684   0.055484   0.000000  -0.000000  -0.195519   0.000000   0.000000   44.0000     0.0553
   11.500     0.000   0.838542   0.043883   0.015446   0.059329   0.000000  -0.000000  -0.200851   0.000000   0.000000   44.0000     0.0548
   12.000     0.000   0.864579   0.046848   0.016273   0.063121   0.000000  -0.000000  -0.205118   0.000000  -0.000000   44.0000     0.0541
   12.500     0.000   0.889054   0.049768   0.017346   0.067114   0.000000  -0.000000  -0.209020   0.000000   0.000000   44.0000     0.0535
   13.000     0.000   0.912415   0.052576   0.018568   0.071144   0.000000  -0.000000  -0.212557   0.000000   0.000000   44.0000     0.0528
   13.500     0.000   0.935779   0.055469   0.019883   0.075353   0.000000  -0.000000  -0.216356  -0.000000  -0.000000   44.0000     0.0523
   14.000     0.000   0.958705   0.058388   0.021369   0.079757   0.000000  -0.000000  -0.220279   0.000000   0.000000   44.0000     0.0518
   14.500     0.000   0.980375   0.061236   0.023028   0.084264   0.000000  -0.000000  -0.223938   0.000000   0.000000   44.0000     0.0513
   15.000     0.000   1.000885   0.064001   0.024880   0.088881   0.000000  -0.000000  -0.227437   0.000000   0.000000   44.0000     0.0508
   15.500     0.000   1.019913   0.066691   0.026913   0.093604   0.000000  -0.000000  -0.230652   0.000000   0.000000   44.0000     0.0504
   16.000     0.000   1.036431   0.069206   0.029350   0.098556   0.000000  -0.000000  -0.233389   0.000000  -0.000000   44.0000     0.0500
   16.500     0.000   1.049322   0.071405   0.032326   0.103732   0.000000  -0.000000  -0.235323   0.000000   0.000000   44.0000     0.0496
   17.000     0.000   1.059115   0.073330   0.035804   0.109134   0.000000  -0.000000  -0.236906  -0.000000  -0.000000   44.0000     0.0493
   17.500     0.000   1.064896   0.074923   0.039985   0.114908   0.000000  -0.000000  -0.238104   0.000000   0.000000   44.0000     0.0490


