xflr5 v6.50

Plane name :        Plane Name
Polar name :        T1-44.0 m/s-VLM1
Freestream speed :  44.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000  -0.224027   0.002717   0.007011   0.009728   0.000000   0.000000   0.054094   0.000000  -0.000000   44.0000     0.0578
   -2.500     0.000  -0.186751   0.001888   0.006991   0.008879   0.000000   0.000000   0.045103   0.000000  -0.000000   44.0000     0.0578
   -2.000     0.000  -0.149441   0.001209   0.006959   0.008168   0.000000   0.000000   0.036098   0.000000  -0.000000   44.0000     0.0578
   -1.500     0.000  -0.112103   0.000680   0.006934   0.007615   0.000000   0.000000   0.027082   0.000000  -0.000000   44.0000     0.0578
   -1.000     0.000  -0.074746   0.000302   0.006930   0.007232   0.000000   0.000000   0.018058   0.000000  -0.000000   44.0000     0.0578
   -0.500     0.000  -0.037374   0.000076   0.006920   0.006996   0.000000   0.000000   0.009028   0.000000  -0.000000   44.0000     0.0578
    0.000     0.000   0.000004   0.000000   0.006897   0.006897   0.000000  -0.000000  -0.000004   0.000000  -0.000000   44.0000     0.2474
    0.500     0.000   0.037382   0.000076   0.006904   0.006980   0.000000  -0.000000  -0.009036   0.000000  -0.000000   44.0000     0.0578
    1.000     0.000   0.074754   0.000303   0.006912   0.007215   0.000000  -0.000000  -0.018066   0.000000  -0.000000   44.0000     0.0578
    1.500     0.000   0.112111   0.000681   0.006927   0.007607   0.000000  -0.000000  -0.027090   0.000000  -0.000000   44.0000     0.0578
    2.000     0.000   0.149449   0.001209   0.006964   0.008174   0.000000  -0.000000  -0.036106   0.000000  -0.000000   44.0000     0.0578
    2.500     0.000   0.186759   0.001888   0.006979   0.008867   0.000000  -0.000000  -0.045111   0.000000  -0.000000   44.0000     0.0578
    3.000     0.000   0.224035   0.002717   0.006989   0.009706   0.000000  -0.000000  -0.054102   0.000000  -0.000000   44.0000     0.0578
    3.500     0.000   0.261271   0.003695   0.007008   0.010703   0.000000  -0.000000  -0.063077  -0.000000  -0.000000   44.0000     0.0578
    4.000     0.000   0.298459   0.004822   0.007048   0.011870   0.000000  -0.000000  -0.072033  -0.000000  -0.000000   44.0000     0.0578
    4.500     0.000   0.335592   0.006096   0.007090   0.013186   0.000000  -0.000000  -0.080968  -0.000000  -0.000000   44.0000     0.0579
    5.000     0.000   0.372665   0.007517   0.007148   0.014665   0.000000  -0.000000  -0.089878  -0.000000  -0.000000   44.0000     0.0579
    5.500     0.000   0.409671   0.009084   0.007235   0.016319   0.000000  -0.000000  -0.098762  -0.000000  -0.000000   44.0000     0.0579
    6.000     0.000   0.446602   0.010794   0.007411   0.018206   0.000000  -0.000000  -0.107619  -0.000000  -0.000000   44.0000     0.0579
    6.500     0.000   0.483452   0.012648   0.008071   0.020719   0.000000  -0.000000  -0.116458  -0.000000  -0.000000   44.0000     0.0579
    7.000     0.000   0.520215   0.014644   0.009017   0.023661   0.000000  -0.000000  -0.125272  -0.000000  -0.000000   44.0000     0.0580
    7.500     0.000   0.556885   0.016780   0.009787   0.026566   0.000000  -0.000000  -0.134047   0.000000  -0.000000   44.0000     0.0580
    8.000     0.000   0.593453   0.019054   0.010483   0.029537   0.000000  -0.000000  -0.142782   0.000000  -0.000000   44.0000     0.0580
    8.500     0.000   0.629916   0.021465   0.011168   0.032632   0.000000  -0.000000  -0.151476   0.000000  -0.000000   44.0000     0.0581
    9.000     0.000   0.666265   0.024010   0.011802   0.035813   0.000000  -0.000000  -0.160125   0.000000  -0.000000   44.0000     0.0581
    9.500     0.000   0.702494   0.026689   0.012414   0.039103   0.000000  -0.000000  -0.168727  -0.000000  -0.000000   44.0000     0.0581
   10.000     0.000   0.738598   0.029499   0.013048   0.042546   0.000000  -0.000000  -0.177282   0.000000  -0.000000   44.0000     0.0582
   10.500     0.000   0.774570   0.032437   0.013707   0.046145   0.000000  -0.000000  -0.185787   0.000000  -0.000000   44.0000     0.0582
   11.000     0.000   0.810405   0.035502   0.014540   0.050042   0.000000  -0.000000  -0.194246   0.000000  -0.000000   44.0000     0.0583
   11.500     0.000   0.846094   0.038692   0.015494   0.054185   0.000000  -0.000000  -0.202656   0.000000  -0.000000   44.0000     0.0583
   12.000     0.000   0.881634   0.042002   0.016995   0.058998   0.000000  -0.000000  -0.211036   0.000000  -0.000000   44.0000     0.0584
   12.500     0.000   0.917018   0.045433   0.018606   0.064039   0.000000  -0.000000  -0.219366   0.000000  -0.000000   44.0000     0.0584
   13.000     0.000   0.952240   0.048979   0.020852   0.069832   0.000000  -0.000000  -0.227671   0.000000  -0.000000   44.0000     0.0585
   13.500     0.000   0.987294   0.052640   0.023569   0.076208   0.000000  -0.000000  -0.235944   0.000000  -0.000000   44.0000     0.0585


